pkg,conflicts
mingw-w64-winpthreads,mingw-w64-headers-bootstrap
miopen-hip,miopen
mitmproxy,pathod
mkinitcpio-systemd-tool,mkinitcpio-dropbear
mkinitcpio-systemd-tool,mkinitcpio-tinyssh
mkinitcpio-tinyssh,mkinitcpio-dropbear
molecule-plugins,molecule-containers
molecule-plugins,molecule-docker
molecule-plugins,molecule-podman
molecule-plugins,molecule-vagrant
mongo-c-driver,libbson
mongo-c-driver,libmongoc
monitoring-plugins,nagios-plugins
mono,monodoc
mono-msbuild,msbuild
mono-msbuild-sdkresolver,msbuild-sdkresolver
moosefs,mfs-chunkserver
moosefs,mfs-client
moosefs,mfs-master
mozo,mozo-gtk3
msmtp-mta,smtp-forwarder
mtr-gtk,mtr
mumble-server,murmur
mupdf-gl,mupdf
mutter46,mutter
nautilus-python,python-nautilus
ndiswrapper-dkms,NDISWRAPPER-MODULE
netcdf-fortran-openmpi,netcdf-fortran
netcdf-openmpi,netcdf
netstandard-targeting-pack,netstandard-targeting-pack-2.1
networkmanager-l2tp,networkmanager-l2tp-gtk3
networkmanager-l2tp,networkmanager-l2tp-gtk4
networkmanager-qt5,networkmanager-qt
new-session-manager,non-session-manager
nextcloud-client,nextcloud-client-cloudproviders
nginx-mainline,nginx
nginx-mainline-src,nginx-src
nim,nimble
nm-connection-editor,libnm-gtk
nodejs-lts-hydrogen,nodejs
nodejs-lts-iron,nodejs
nss-pam-ldapd,pam_ldap
ntfs-3g,ntfsprogs
nullmailer,smtp-forwarder
nullmailer,smtp-server
nut,network-ups-tools
nvidia-dkms,NVIDIA-MODULE
nvidia-dkms,nvidia
nvidia-open,NVIDIA-MODULE
nvidia-open-dkms,nvidia-open
nvidia-open-dkms,NVIDIA-MODULE
nvidia-utils,nvidia-libgl
ocl-icd,libcl
okularpart5,okular
onetbb,intel-tbb
onetbb,tbb
onnxruntime-opt,onnxruntime
onnxruntime-opt-rocm,onnxruntime
onnxruntime-rocm,onnxruntime
openbsd-netcat,gnu-netcat
opencl-clover-mesa,opencl-mesa
opencl-rusticl-mesa,opencl-mesa
opencv-cuda,opencv
openjade,jade
openmotif,lesstif
openntpd,ntp
openresolv,resolvconf
openscenegraph,openthreads
opensmtpd,smtp-server
opensmtpd,smtp-forwarder
orbiton-nano,nano
otf-droid-nerd,nerd-fonts-droid-sans-mono
otf-firamono-nerd,nerd-fonts-fira-mono
otf-hasklig-nerd,nerd-fonts-hasklig
otf-hermit-nerd,nerd-fonts-hermit
otf-ipaexfont,ttf-ipaex
otf-montserrat,montserrat-otf
otf-overpass-nerd,nerd-fonts-overpass
oxygen5,oxygen
p8-platform,libplatform
pacredir,pacserve
pandoc-cli,pandoc
pandoc-crossref,haskell-pandoc-crossref
paraview,paraview-opt
pass,passmenu
pcmanfm-gtk3,pcmanfm
pdfjs,pdfjs-legacy
pdfjs-legacy,pdfjs
percona-server,mysql
percona-server-clients,mysql-clients
perl-goocanvas2,perl-goo-canvas2
perl-html-element-extended,perl-html-elementtable
perl-html-form,perl-libwww
perl-html-formatter,perl-html-formattext
perl-http-message,perl-libwww
perl-image-sane,perl-sane
perl-mail-spf,perl-mail-spf-query
perl-net-http,perl-libwww
php,php-intl
php-legacy,php-legacy-intl
pifpaf,python-pifpaf
pigeonhole,dovecot-sieve
pigeonhole,pigeonhole-hg
pipewire-jack,jack
pipewire-jack,jack2
pipewire-jack,pipewire-jack-client
pipewire-jack-client,pipewire-jack
pipewire-media-session,wireplumber
pipewire-pulse,pulseaudio
plasma-activities,kactivities
plasma-activities-stats,kactivities-stats
plasma-applet-window-buttons,plasma5-applets-window-buttons
plasma-framework5,plasma-framework
plasma-workspace,plasma-wayland-session
plasma5-integration,plasma-integration
plocate,mlocate
pluma,pluma-gtk3
pnetcdf-openmpi,parallel-netcdf
pnetcdf-openmpi,parallel-netcdf-openmpi
podman-docker,docker
poppler,poppler-qt3
poppler,poppler-qt4
poppler-data,poppler
postfix,smtp-server
postfix,smtp-forwarder
postgresql-libs,postgresql-client
powerdns,pdns
powerdns-recursor,pdns-recursor
prison5,prison
prjtrellis,libtrellis
procinfo-ng,procinfo
profanity-gtk,profanity
proxychains-ng,proxychains
psi-nowebengine,psi
pulseaudio,pipewire-pulse
puppet,puppet5
puppet,puppet6
puppet,hiera
purpose,purpose5
purpose5,purpose
python-absl,absl-py
python-adb-shell,python-adb_shell
python-argon2-cffi,python-argon2_cffi
python-astroid,python-logilab-astng
python-cogapp,cocogitto
python-configshell-fb,python-configshell
python-cpplint,cpplint
python-dbus,dbus-python
python-dbus,python-dbus-common
python-dbus-docs,dbus-python-docs
python-django-q2,python-django-q
python-docker,python-docker-py
python-faust-cchardet,python-cchardet
python-flask-security-too,python-flask-security
python-ghp-import,ghp-import
python-gobject,pygobject-devel
python-h5py,hdf5-openmpi
python-h5py-openmpi,python-h5py
python-hid,python-hidapi
python-i3ipc,i3ipc-python
python-imaplib2,python-imaplib2-git
python-ipip-ipdb,python-ipdb
python-jaraco.classes,python-jaraco
python-jaraco.collections,python-jaraco
python-jaraco.functools,python-jaraco
python-jaraco.itertools,python-jaraco
python-jaraco.logging,python-jaraco
python-jaraco.stream,python-jaraco
python-jaraco.text,python-jaraco
python-jupyter-client,python-jupyter_client
python-jupyter-core,python-jupyter_core
python-jupyter-packaging,python-jupyter_packaging
python-jupyterlab-server,jupyterlab_server
python-jupyterlab-server,python-jupyterlab_server
python-keras,python-keras-preprocessing
python-netcdf4-openmpi,python-netcdf4
python-olefile,python3-olefileio
python-onnxruntime-opt,python-onnxruntime
python-onnxruntime-opt-rocm,python-onnxruntime
python-onnxruntime-rocm,python-onnxruntime
python-opencv-cuda,python-opencv
python-path,python-path.py
python-pillow-heif,python-pillow_heif
python-prettytable,python-ptable
python-pycryptodome,python-crypto
python-pycuda,pycuda-headers
python-pygments,pygmentize
python-pylint-plugin-utils,python-pylint-plugin-utils
python-pylint-plugin-utils,python-pylint-plugin-utils-git
python-pylint-pydantic,python-pylint-pydantic
python-pylint-pydantic,python-pylint-pydantic-git
python-pymacaroons,python-pymacaroons-pynacl
python-pyqt5,pyqt5-common
python-pyqt5-webengine,pyqtwebengine-common
python-pyqt5-webengine,python-pyqtwebwengine
python-pytorch-cuda,python-pytorch
python-pytorch-opt,python-pytorch
python-pytorch-opt-cuda,python-pytorch
python-pytorch-opt-rocm,python-pytorch
python-pytorch-rocm,python-pytorch
python-pywlroots,pywlroots
python-pyxdg,python-xdg
python-sqlalchemy1.4,python-sqlalchemy
python-srt,python-pysrt
python-tensorflow-cuda,python-tensorflow
python-tensorflow-opt,python-tensorflow
python-tensorflow-opt-cuda,python-tensorflow
python-tensorflow-serving-api-gpu,python-tensorflow-serving-api
python-torchvision-cuda,python-torchvision
python-update-checker,python-update_checker
python-virtualenv,virtualenv
python-z3-solver,python-z3
python-zipstream-ng,python-zipstream
qca-qt5,qca
qcoro,qcoro-qt6
qemu-common,qemu-system-nios2
qemu-user-binfmt,qemu-user-binfmt-provider
qemu-user-static-binfmt,qemu-user-binfmt-provider
qqc2-desktop-style5,qqc2-desktop-style
qt5-base,qtchooser
qt5-declarative,qtchooser
qt5-tools,qtchooser
qt5-xmlpatterns,qtchooser
qtkeychain-qt5,qtkeychain
qtqr,python-qrtools
qtxdg-tools,libqtxdg
quassel-client,quassel-client-qt
quassel-client-qt,quassel-client
quassel-monolithic,quassel-monolithic-qt
quassel-monolithic-qt,quassel-monolithic
racket,racket-docs
racket-minimal,racket
rage-encryption,rage
rdma-core,ibacm
rdma-core,infiniband-diags
rdma-core,libcxgb3
rdma-core,libcxgb4
rdma-core,libibcm
rdma-core,libibmad
rdma-core,libibumad
rdma-core,libibverbs
rdma-core,libiwpm
rdma-core,libmlx4
rdma-core,libmlx5
rdma-core,libmthca
rdma-core,libnes
rdma-core,libocrdma
rdma-core,librdmacm
rdma-core,rdma
rdma-core,srptools
redo-python,redo-sh
redo-python,redo-c
redo-python,redo-jdebp
redo-sh,redo-python
redo-sh,redo-jdebp
redo-sh,redo-c
referenceassemblies-pcl,mono-pcl
rofi-wayland,rofi
root-cuda,root
ropper,python-ropper
rpm-tools,rpm
rpm-tools,rpmextract
rssguard-lite,rssguard
ruby,ruby-abbrev
ruby,ruby-base64
ruby,ruby-benchmark
ruby,ruby-bigdecimal
ruby,ruby-cgi
ruby,ruby-csv
ruby,ruby-date
ruby,ruby-delegate
ruby,ruby-did_you_mean
ruby,ruby-digest
ruby,ruby-drb
ruby,ruby-english
ruby,ruby-etc
ruby,ruby-fcntl
ruby,ruby-fiddle
ruby,ruby-fileutils
ruby,ruby-find
ruby,ruby-forwardable
ruby,ruby-getoptlong
ruby,ruby-io-console
ruby,ruby-io-nonblock
ruby,ruby-io-wait
ruby,ruby-ipaddr
ruby,ruby-json
ruby,ruby-logger
ruby,ruby-mutex_m
ruby,ruby-net-http
ruby,ruby-open-uri
ruby,ruby-psych
ruby,ruby-reline
ruby,ruby-ruby2_keywords
ruby,ruby-set
ruby,ruby-stringio
ruby,ruby-time
ruby,ruby-tmpdir
ruby,ruby-uri
ruby-bundled-gems,ruby-bundledgems
ruby-pkg-config,ruby-pkgconfig
ruby-ronn-ng,ruby-ronn
rust,cargo
rust,rust-docs
rust,rustfmt
rustup,rust
rustup,cargo
rustup,rustfmt
s2n-tls,s2n
s3fs-fuse,s3fs
scantailor-advanced,scantailor
schroot,dchroot
sdl12-compat,sdl
secrets,gnome-passwordsafe
selene,selene-linter
solid5,solid
sonnet5,sonnet
spike,fesvr
srslte,srsue
srslte,srsenb
srslte,srsepc
srslte-avx2,srslte
stack,haskell-stack
supermin,febootstrap
svgo,nodejs-svgo
syndication5,syndication
syntax-highlighting5,syntax-highlighting
syslog-ng,eventlog
system76-firmware,system76-firmware-daemon
systray-x-common,systray-x
systray-x-kde,systray-x
tealdeer,tldr
teensy_loader_cli,teensy-loader-cli
tensorflow-cuda,tensorflow
tensorflow-opt,tensorflow
tensorflow-opt-cuda,tensorflow
terminus-font,terminus-font-otb
texlive-basic,texlive-core
texlive-binextra,git-latexdiff
texlive-langother,texlive-langextra
texlive-mathscience,texlive-science
threadweaver5,threadweaver
threejs-sage,three.js
tidy,tidyhtml
tigervnc,tightvnc
tinysparql,tracker3
tinyssh,tinyssh-convert
tinyxxd,xxd
tlp,laptop-mode-tools
tlp,pm-utils
tlp,power-profiles-daemon
torchvision-cuda,torchvision
totem,totem-plugin
totem-pl-parser,totem-plparser
toxcore,tox
trayer,trayer-srg
treedec,tdlib
trivy,trivy
ttf-agave-nerd,nerd-fonts-agave
ttf-anonymouspro-nerd,nerd-fonts-anonymous-pro
ttf-arimo-nerd,nerd-fonts-arimo
ttf-bitstream-vera-mono-nerd,nerd-fonts-bitstream-vera-mono
ttf-cascadia-code-nerd,nerd-fonts-cascadia-code
ttf-dejavu-nerd,nerd-fonts-dejavu-complete
ttf-fantasque-nerd,nerd-fonts-fantasque-sans-mono
ttf-firacode-nerd,nerd-fonts-fira-code
ttf-go-nerd,nerd-fonts-go-mono
ttf-hack-nerd,nerd-fonts-hack
ttf-ibm-plex,ibm-plex-fonts
ttf-ibmplex-mono-nerd,nerd-fonts-ibm-plex-mono
ttf-inconsolata-go-nerd,nerd-fonts-inconsolata-go
ttf-inconsolata-lgc-nerd,nerd-fonts-inconsolatalgc
ttf-inconsolata-nerd,nerd-fonts-inconsolata
ttf-iosevka-nerd,nerd-fonts-iosevka
ttf-jetbrains-mono-nerd,nerd-fonts-jetbrains-mono
ttf-joypixels,ttf-emojione
ttf-liberation-mono-nerd,nerd-fonts-liberation-mono
ttf-meslo-nerd,nerd-fonts-meslo
ttf-monofur-nerd,nerd-fonts-monofur
ttf-monoid-nerd,nerd-fonts-monoid
ttf-mononoki-nerd,nerd-fonts-mononoki
ttf-montserrat,montserrat-ttf
ttf-mplus-nerd,nerd-fonts-mplus
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-1000-em
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-2048-em
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-1000-em-mono
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-2048-em-mono
ttf-noto-nerd,nerd-fonts-noto
ttf-profont-nerd,nerd-fonts-profont
ttf-roboto-mono-nerd,nerd-fonts-roboto-mono
ttf-sourcecodepro-nerd,nerd-fonts-source-code-pro
ttf-space-mono-nerd,nerd-fonts-source-space-mono
ttf-terminus-nerd,nerd-fonts-terminus
ttf-tinos-nerd,nerd-fonts-source-tinos
ttf-ubuntu-mono-nerd,nerd-fonts-ubuntu-mono
ttf-ubuntu-mono-nerd,ttf-ubuntumono-nerd
ttf-ubuntu-nerd,nerd-fonts-ubuntu
ttf-victor-mono-nerd,ttf-nerd-fonts-victor-mono
tuned-ppd,power-profiles-daemon
twine,python-twine
udp2raw,udp2raw-tunnel
ueberzugpp,ueberzug
ukui-wallpapers,ubuntukylin-wallpapers
unrealircd,ircd
v4l-utils,libv4l
vagrant,vagrant-substrate
vala,valadoc
valkey,redis
vbam-sdl,vbam-wx
vbam-wx,vbam-sdl
vhba-module-dkms,vhba-module
vim,gvim
vim,vim-minimal
virtualbox,virtualbox-ose
virtualbox-guest-iso,virtualbox-additions
virtualbox-guest-iso,virtualbox-iso-additions
virtualbox-guest-utils,virtualbox-archlinux-additions
virtualbox-guest-utils,virtualbox-guest-additions
virtualbox-guest-utils,virtualbox-guest-utils-nox
virtualbox-guest-utils,virtualbox-guest-dkms
virtualbox-guest-utils-nox,virtualbox-guest-utils
virtualbox-guest-utils-nox,virtualbox-guest-dkms
virtualbox-host-dkms,virtualbox-source
virtualbox-host-dkms,virtualbox-host-source
virtualbox-host-modules-arch,virtualbox-modules
virtualbox-host-modules-arch,virtualbox-host-modules
virtualbox-host-modules-arch,virtualbox-host-dkms
vlc,vlc-plugin
vpl-gpu-rt,onevpl-intel-gpu
vulkan-extra-tools,vulkan-trace
vulkan-mesa-layers,vulkan-mesa-layer
vulkan-swrast,vulkan-mesa
vulscan,nmap-vulscan
wacomtablet,kcm-wacomtablet
waifu2x-ncnn-vulkan,waifu2x-ncnn-vulkan-git
warsow,warsow
waylandpp,waylandpp-git
web-ext,nodejs-web-ext
wezterm,wezterm-shell-integration
whipper,accuraterip-checksum
wireplumber,pipewire-media-session
wireshark-cli,wireshark
wireshark-qt,wireshark
wireshark-qt,wireshark-gtk
wireshark-qt,wireshark-common
wlroots0.17,wlroots
woob,weboob
wxwidgets-common,wxgtk-common
wxwidgets-gtk3,wxgtk3
x264,libx264
x264,libx264-10bit
x264,libx264-all
xapp,xapps
xarchiver-gtk2,xarchiver
xdg-desktop-portal-gnome,xdg-desktop-portal-gtk
xf86-input-elographics,xorg-server
xf86-input-elographics,X-ABI-XINPUT_VERSION
xf86-input-elographics,X-ABI-XINPUT_VERSION
xf86-input-evdev,xorg-server
xf86-input-evdev,X-ABI-XINPUT_VERSION
xf86-input-evdev,X-ABI-XINPUT_VERSION
xf86-input-libinput,xorg-server
xf86-input-libinput,X-ABI-XINPUT_VERSION
xf86-input-libinput,X-ABI-XINPUT_VERSION
xf86-input-synaptics,synaptics
xf86-input-vmmouse,xorg-server
xf86-input-vmmouse,X-ABI-XINPUT_VERSION
xf86-input-vmmouse,X-ABI-XINPUT_VERSION
xf86-input-void,xorg-server
xf86-input-void,X-ABI-XINPUT_VERSION
xf86-input-void,X-ABI-XINPUT_VERSION
xf86-input-wacom,xorg-server
xf86-input-wacom,X-ABI-XINPUT_VERSION
xf86-input-wacom,X-ABI-XINPUT_VERSION
xf86-video-amdgpu,xorg-server
xf86-video-amdgpu,X-ABI-VIDEODRV_VERSION
xf86-video-amdgpu,X-ABI-VIDEODRV_VERSION
xf86-video-ati,xorg-server
xf86-video-ati,X-ABI-VIDEODRV_VERSION
xf86-video-ati,X-ABI-VIDEODRV_VERSION
xf86-video-dummy,xorg-server
xf86-video-dummy,X-ABI-VIDEODRV_VERSION
xf86-video-dummy,X-ABI-VIDEODRV_VERSION
xf86-video-fbdev,xorg-server
xf86-video-fbdev,X-ABI-VIDEODRV_VERSION
xf86-video-fbdev,X-ABI-VIDEODRV_VERSION
xf86-video-intel,xorg-server
xf86-video-intel,X-ABI-VIDEODRV_VERSION
xf86-video-intel,X-ABI-VIDEODRV_VERSION
xf86-video-intel,xf86-video-intel-sna
xf86-video-intel,xf86-video-intel-uxa
xf86-video-intel,xf86-video-i810
xf86-video-intel,xf86-video-intel-legacy
xf86-video-nouveau,xorg-server
xf86-video-nouveau,X-ABI-VIDEODRV_VERSION
xf86-video-nouveau,X-ABI-VIDEODRV_VERSION
xf86-video-qxl,xf86-video-qxl-git
xf86-video-qxl,X-ABI-VIDEODRV_VERSION
xf86-video-qxl,X-ABI-VIDEODRV_VERSION
xf86-video-sisusb,xorg-server
xf86-video-sisusb,X-ABI-VIDEODRV_VERSION
xf86-video-sisusb,X-ABI-VIDEODRV_VERSION
xf86-video-vesa,xorg-server
xf86-video-vesa,X-ABI-VIDEODRV_VERSION
xf86-video-vesa,X-ABI-VIDEODRV_VERSION
xf86-video-vmware,xorg-server
xf86-video-vmware,X-ABI-VIDEODRV_VERSION
xf86-video-vmware,X-ABI-VIDEODRV_VERSION
xf86-video-voodoo,xorg-server
xf86-video-voodoo,X-ABI-VIDEODRV_VERSION
xf86-video-voodoo,X-ABI-VIDEODRV_VERSION
xkeyboard-config,xkbdata
xorg-appres,xorg-res-utils
xorg-font-util,font-util
xorg-fonts-alias-100dpi,xorg-fonts-alias
xorg-fonts-alias-75dpi,xorg-fonts-alias
xorg-fonts-alias-cyrillic,xorg-fonts-alias
xorg-fonts-alias-misc,xorg-fonts-alias
xorg-fonttosfnt,fonttosfnt
xorg-mkfontscale,xorg-mkfontdir
xorg-server,nvidia-utils
xorg-server,glamor-egl
xorg-server,xf86-video-modesetting
xorg-xwayland,xorg-server-xwayland
yabause-qt,yabause-gtk
yq,go-yq
yubico-c,libyubikey
yubico-c-client,ykclient
yubico-pam,pam_yubico
yubikey-personalization,ykpers
yubikey-personalization-gui,yubikey-personalization-tool
zathura-pdf-mupdf,zathura-pdf-poppler
zbar,zbar-gtk
zbar,zbar-qt
zbar,python-zbar
zeitgeist,zeitgeist-datahub
zim-tools,zimwriterfs
zlib-ng-compat,zlib
lib32-at-spi2-core,lib32-at-spi2-atk
lib32-at-spi2-core,lib32-atk
lib32-dbus,lib32-libdbus
lib32-freeglut,lib32-glut
lib32-jack2,lib32-jack
lib32-libjpeg6-turbo,lib32-libjpeg6
lib32-libltdl,lib32-libtool
lib32-libpulse,lib32-pulseaudio
lib32-libudev0-shim,lib32-libudev0
lib32-mangohud,lib32-mangoapp
lib32-mesa,lib32-libva-mesa-driver
lib32-mesa,lib32-mesa-libgl
lib32-mesa,lib32-mesa-vdpau
lib32-mesa-amber,lib32-mesa
lib32-nvidia-utils,lib32-nvidia-libgl
lib32-ocl-icd,lib32-libcl
lib32-opencl-clover-mesa,lib32-opencl-mesa
lib32-opencl-rusticl-mesa,lib32-opencl-mesa
lib32-pipewire-jack,lib32-jack
lib32-pipewire-jack,lib32-jack2
lib32-renderdoc,lib32-renderdoc-minimal
lib32-sdl12-compat,lib32-sdl
lib32-v4l-utils,lib32-libv4l
lib32-vulkan-mesa-layers,lib32-vulkan-mesa-layer
lib32-vulkan-swrast,lib32-vulkan-mesa
wine-staging,wine
