pkg,depends
cdrdao,gcc-libs
cdrdao,glibc
cdrdao,lame
cdrdao,libao
cdrdao,libmad
cdrdao,libvorbis
cdrtools,acl
cdrtools,glibc
cdrtools,libcap
celluloid,gtk4
celluloid,mpv
celluloid,libadwaita
ceres-solver,google-glog
ceres-solver,suitesparse
cern-vdt,glibc
certbot,ca-certificates
certbot,python-acme
certbot,python-configargparse
certbot,python-configobj
certbot,python-cryptography
certbot,python-distro
certbot,python-parsedatetime
certbot,python-pyrfc3339
certbot,python-pytz
certbot,python-setuptools
certbot-apache,certbot
certbot-apache,python-acme
certbot-apache,python-augeas
certbot-apache,python-setuptools
certbot-dns-cloudflare,certbot
certbot-dns-cloudflare,python-acme
certbot-dns-cloudflare,python-cloudflare
certbot-dns-digitalocean,certbot
certbot-dns-digitalocean,python-acme
certbot-dns-digitalocean,python-digitalocean
certbot-dns-dnsimple,certbot
certbot-dns-dnsimple,python-acme
certbot-dns-dnsimple,dns-lexicon
certbot-dns-dnsmadeeasy,certbot
certbot-dns-dnsmadeeasy,python-acme
certbot-dns-dnsmadeeasy,dns-lexicon
certbot-dns-gehirn,certbot
certbot-dns-gehirn,python-acme
certbot-dns-gehirn,dns-lexicon
certbot-dns-google,certbot
certbot-dns-google,python-acme
certbot-dns-google,python-google-api-python-client
certbot-dns-google,python-httplib2
certbot-dns-hetzner,certbot
certbot-dns-hetzner,python-requests
certbot-dns-hetzner,python-requests-mock
certbot-dns-hetzner,python-tldextract
certbot-dns-hetzner,dns-lexicon
certbot-dns-hetzner,python-parsedatetime
certbot-dns-inwx,certbot
certbot-dns-inwx,python
certbot-dns-inwx,python-inwx-domrobot
certbot-dns-linode,certbot
certbot-dns-linode,python-acme
certbot-dns-linode,dns-lexicon
certbot-dns-luadns,certbot
certbot-dns-luadns,python-acme
certbot-dns-luadns,dns-lexicon
certbot-dns-nsone,certbot
certbot-dns-nsone,python-acme
certbot-dns-nsone,dns-lexicon
certbot-dns-ovh,certbot
certbot-dns-ovh,python-acme
certbot-dns-ovh,dns-lexicon
certbot-dns-rfc2136,certbot
certbot-dns-rfc2136,python-acme
certbot-dns-rfc2136,python-dnspython
certbot-dns-route53,certbot
certbot-dns-route53,python-acme
certbot-dns-route53,python-boto3
certbot-dns-sakuracloud,certbot
certbot-dns-sakuracloud,python-acme
certbot-dns-sakuracloud,dns-lexicon
certbot-nginx,certbot
certbot-nginx,python-acme
certbot-nginx,python-pyopenssl
certbot-nginx,python-pyparsing
certbot-nginx,python-setuptools
cervisia,gcc-libs
cervisia,glibc
cervisia,kcompletion5
cervisia,kconfig5
cervisia,kconfigwidgets5
cervisia,kcoreaddons5
cervisia,kdbusaddons5
cervisia,kdesu5
cervisia,ki18n5
cervisia,kinit
cervisia,kio5
cervisia,kitemviews5
cervisia,knotifications5
cervisia,kparts5
cervisia,kservice5
cervisia,ktextwidgets5
cervisia,kwidgetsaddons5
cervisia,kxmlgui5
cervisia,qt5-base
cfitsio,curl
cfitsio,glibc
cfitsio,zlib
cfr,java-runtime
cfssl,glibc
cgal,boost
cgal,eigen
cgal,gmp
cgal,mpfr
cgdb,readline
cgdb,ncurses
cgdb,gdb
cgit,openssl
cgit,luajit
cgit-aurweb,openssl
cgit-aurweb,luajit
cgns,tk
cgns,hdf5
cgns,libxmu
cgns,glu
cgrep,ghc-libs
cgrep,haskell-aeson
cgrep,haskell-ansi-terminal
cgrep,haskell-async
cgrep,haskell-cmdargs
cgrep,haskell-dlist
cgrep,haskell-either
cgrep,haskell-extra
cgrep,haskell-regex-base
cgrep,haskell-regex-pcre
cgrep,haskell-regex-posix
cgrep,haskell-safe
cgrep,haskell-split
cgrep,haskell-stringsearch
cgrep,haskell-unix-compat
cgrep,haskell-unicode-show
cgrep,haskell-unordered-containers
cgrep,haskell-utf8-string
cgrep,haskell-yaml
chafa,libavif
chafa,libjxl
chafa,librsvg
chafa,libwebp
chafa,libxslt
charm,glibc
chatblade,python
chatblade,python-openai
chatblade,python-platformdirs
chatblade,python-pylatexenc
chatblade,python-rich
chatblade,python-tiktoken
chatblade,python-yaml
chatty,cairo
chatty,dconf
chatty,evolution-data-server
chatty,feedbackd
chatty,gcc-libs
chatty,gdk-pixbuf2
chatty,glib2
chatty,glibc
chatty,gnome-desktop-4
chatty,gstreamer
chatty,gtk4
chatty,gtksourceview5
chatty,hicolor-icon-theme
chatty,libadwaita
chatty,libcmatrix
chatty,libmm-glib
chatty,libphonenumber
chatty,libspelling
chatty,pango
chatty,sqlite
check,awk
check-jsonschema,python
check-jsonschema,python-click
check-jsonschema,python-importlib-resources
check-jsonschema,python-jsonschema
check-jsonschema,python-referencing
check-jsonschema,python-regress
check-jsonschema,python-requests
check-jsonschema,python-ruamel-yaml
check-sieve,gcc-libs
checkbashisms,perl
checksec,awk
checksec,bash
checksec,binutils
checksec,coreutils
checksec,file
checksec,findutils
checksec,grep
checksec,openssl
checksec,procps-ng
cheese,clutter-gst
cheese,clutter-gtk
cheese,dconf
cheese,gnome-desktop
cheese,gnome-video-effects
cheese,gst-plugins-bad
cheese,gst-plugins-base
cheese,gst-plugins-good
cheese,gstreamer
cheese,gtk3
cheese,libcanberra
cheese,libgudev
cheese,librsvg
cheese,libcheese
cherrytree,atkmm
cherrytree,cairo
cherrytree,cairomm
cherrytree,curl
cherrytree,fmt
cherrytree,fribidi
cherrytree,gcc-libs
cherrytree,glib2
cherrytree,glibc
cherrytree,glibmm
cherrytree,gspell
cherrytree,gtk3
cherrytree,gtkmm3
cherrytree,gtksourceview4
cherrytree,hicolor-icon-theme
cherrytree,libsigc++
cherrytree,libxml++2.6
cherrytree,libxml2
cherrytree,pango
cherrytree,pangomm
cherrytree,sqlite
cherrytree,uchardet
cherrytree,vte3
chess-clock,dconf
chess-clock,glib2
chess-clock,gsound
chess-clock,gtk4
chess-clock,hicolor-icon-theme
chess-clock,libadwaita
chess-clock,python
chess-clock,python-gobject
chess-tui,gcc-libs
chewing-editor,glibc
chewing-editor,libchewing
chewing-editor,qt5-base
chezmoi,glibc
chinese-calendar,qt5-base
chinese-calendar,qt5-svg
chitose,glibc
chitose,libpcap
chmlib,glibc
choose,gcc-libs
choria-io,glibc
choria-io,logrotate
choria-io,puppet
choria-io,facter
chromaprint,gcc-libs
chromaprint,glibc
chromaprint,libavcodec.so
chromaprint,libavformat.so
chromaprint,libavutil.so
chromaprint,libswresample.so
chromium,gtk3
chromium,nss
chromium,alsa-lib
chromium,xdg-utils
chromium,libxss
chromium,libcups
chromium,libgcrypt
chromium,ttf-liberation
chromium,systemd
chromium,dbus
chromium,libpulse
chromium,pciutils
chromium,libva
chromium,libffi
chromium,desktop-file-utils
chromium,hicolor-icon-theme
chromium,fontconfig
chromium,brotli
chromium,libjpeg-turbo
chromium,icu
chromium,flac
chromium,libxml2
chromium,libwebp
chromium,minizip
chromium,opus
chromium,harfbuzz
chromium,libxslt
chromium,libpng
chromium,freetype2
chromium-bsu,freeglut
chromium-bsu,glu
chromium-bsu,sdl2_image
chromium-bsu,openal
chromium-bsu,freealut
chromium-bsu,ftgl
chromium-bsu,fontconfig
chrony,glibc
chrony,libcap
chrony,libcap.so
chrony,libedit
chrony,libedit.so
chrony,libseccomp
chrony,libseccomp.so
chrony,nettle
chrony,libnettle.so
chrony,gnutls
chrony,sh
chrootuid,glibc
chrpath,glibc
chuck,jack
chuck,libsndfile
ciano,ffmpeg
ciano,granite
ciano,imagemagick
cifs-utils,keyutils
cifs-utils,krb5
cifs-utils,pam
cifs-utils,libcap-ng
cifs-utils,libwbclient
cifs-utils,talloc
cilium-cli,glibc
cimg,fftw
cimg,graphicsmagick
cinnamon,accountsservice
cinnamon,caribou
cinnamon,cinnamon-control-center
cinnamon,cinnamon-desktop
cinnamon,cinnamon-menus
cinnamon,cinnamon-screensaver
cinnamon,cinnamon-session
cinnamon,cinnamon-settings-daemon
cinnamon,cjs
cinnamon,gcr
cinnamon,gdk-pixbuf2
cinnamon,glib2
cinnamon,gnome-backgrounds
cinnamon,gsound
cinnamon,gstreamer
cinnamon,gtk3
cinnamon,libgnomekbd
cinnamon,libkeybinder3
cinnamon,librsvg
cinnamon,muffin
cinnamon,network-manager-applet
cinnamon,nemo
cinnamon,pango
cinnamon,polkit-gnome
cinnamon,python
cinnamon,python-cairo
cinnamon,python-dbus
cinnamon,python-gobject
cinnamon,python-pam
cinnamon,python-pexpect
cinnamon,python-pillow
cinnamon,python-pyinotify
cinnamon,python-pytz
cinnamon,python-tinycss2
cinnamon,python-xapp
cinnamon,python-requests
cinnamon,timezonemap
cinnamon,xapps
cinnamon,xdg-desktop-portal-xapp
cinnamon-control-center,cinnamon-settings-daemon
cinnamon-control-center,cinnamon-menus
cinnamon-control-center,colord
cinnamon-control-center,libgnomekbd
cinnamon-control-center,libmm-glib
cinnamon-control-center,nm-connection-editor
cinnamon-desktop,accountsservice
cinnamon-desktop,gtk3
cinnamon-desktop,libxkbfile
cinnamon-desktop,libpulse
cinnamon-menus,glib2
cinnamon-screensaver,accountsservice
cinnamon-screensaver,cinnamon-desktop
cinnamon-screensaver,libgnomekbd
cinnamon-screensaver,python-cairo
cinnamon-screensaver,python-gobject
cinnamon-screensaver,python-setproctitle
cinnamon-screensaver,python-xapp
cinnamon-screensaver,xapp
cinnamon-screensaver,xdotool
cinnamon-session,cinnamon-desktop
cinnamon-session,libsm
cinnamon-session,libcanberra
cinnamon-session,xapps
cinnamon-settings-daemon,cinnamon-desktop
cinnamon-settings-daemon,colord
cinnamon-settings-daemon,dbus-glib
cinnamon-settings-daemon,libcanberra-pulse
cinnamon-settings-daemon,libcups
cinnamon-settings-daemon,libgnomekbd
cinnamon-settings-daemon,libgudev
cinnamon-settings-daemon,libnotify
cinnamon-settings-daemon,librsvg
cinnamon-settings-daemon,libwacom
cinnamon-settings-daemon,nss
cinnamon-settings-daemon,polkit
cinnamon-settings-daemon,pulse-native-provider
cinnamon-settings-daemon,upower
citations,cairo
citations,dconf
citations,gcc-libs
citations,glib2
citations,glibc
citations,gtk4
citations,gtksourceview5
citations,hicolor-icon-theme
citations,libadwaita
citations,openssl
citations,poppler-glib
cjdns,glibc
cjdns,sh
cjs,gtk3
cjs,gobject-introspection-runtime
cjs,js115
cjson,glibc
ckermit,glibc
ckermit,libxcrypt
ckermit,ncurses
cksfv,glibc
cl-alexandria,cl-asdf
cl-alexandria,common-lisp
cl-asdf-flv,common-lisp
cl-asdf-flv,cl-asdf
cl-babel,common-lisp
cl-babel,cl-asdf
cl-babel,cl-alexandria
cl-babel,cl-trivial-features
cl-babel,cl-trivial-gray-streams
cl-bordeaux-threads,common-lisp
cl-bordeaux-threads,cl-asdf
cl-bordeaux-threads,cl-alexandria
cl-bordeaux-threads,cl-global-vars
cl-bordeaux-threads,cl-trivial-features
cl-bordeaux-threads,cl-trivial-garbage
cl-cffi,common-lisp
cl-cffi,cl-asdf
cl-cffi,cl-babel
cl-cffi,cl-alexandria
cl-cffi,cl-trivial-features
cl-cffi,cl-ppcre
cl-cffi,cl-json
cl-cffi,libffi
cl-clx,common-lisp
cl-clx,cl-asdf
cl-clx,xorg-server
cl-fiveam,cl-asdf
cl-fiveam,common-lisp
cl-fiveam,cl-alexandria
cl-fiveam,cl-asdf-flv
cl-fiveam,cl-trivial-backtrace
cl-flexi-streams,common-lisp
cl-flexi-streams,cl-asdf
cl-flexi-streams,cl-trivial-gray-streams
cl-global-vars,common-lisp
cl-global-vars,cl-asdf
cl-hu-dwim-stefil,common-lisp
cl-hu-dwim-stefil,cl-asdf
cl-hu-dwim-stefil,cl-alexandria
cl-json,common-lisp
cl-json,cl-asdf
cl-lift,common-lisp
cl-lift,cl-asdf
cl-ppcre,common-lisp
cl-ppcre,cl-asdf
cl-ppcre,cl-unicode
cl-rt,common-lisp
cl-rt,cl-asdf
cl-swank,common-lisp
cl-swank,cl-asdf
cl-trivial-backtrace,common-lisp
cl-trivial-backtrace,cl-asdf
cl-trivial-features,common-lisp
cl-trivial-features,cl-asdf
cl-trivial-garbage,common-lisp
cl-trivial-garbage,cl-asdf
cl-trivial-gray-streams,common-lisp
cl-trivial-gray-streams,cl-asdf
cl-unicode,common-lisp
cl-unicode,cl-asdf
cl-unicode,cl-ppcre
clairvoyant,dconf
clairvoyant,glib2
clairvoyant,glibc
clairvoyant,gtk4
clairvoyant,hicolor-icon-theme
clairvoyant,libadwaita
clairvoyant,libportal
clamav,bash
clamav,bzip2
clamav,curl
clamav,gcc-libs
clamav,glibc
clamav,json-c
clamav,libltdl
clamav,libmspack
clamav,libxml2
clamav,ncurses
clamav,openssl
clamav,pcre2
clamav,systemd-libs
clamav,zlib
clamav,libsystemd.so
clamav,libncursesw.so
clamav,libcurl.so
clamav,libjson-c.so
clamav,libbz2.so
clamtk,clamav
clamtk,cron
clamtk,perl
clamtk,perl-gtk3
clamtk,perl-http-message
clamtk,perl-json
clamtk,perl-libwww
clamtk,perl-locale-gettext
clamtk,perl-lwp-protocol-https
clamtk,perl-text-csv
clamtk,python
clamtk,zenity
clang,llvm-libs
clang,gcc
clang,compiler-rt
clang14,llvm14-libs
clang14,gcc
clang14,compiler-rt14
clanlib,alsa-lib
clanlib,fontconfig
clanlib,libgl
clanlib,libxrender
clapper,dconf
clapper,glib2
clapper,glibc
clapper,graphene
clapper,gstreamer
clapper,gtk4
clapper,hicolor-icon-theme
clapper,libadwaita
clapper,libclapper-0.0.so
clapper,libclapper-gtk-0.0.so
clapper,pango
clash,glibc
clash-ghc,ghc-libs
clash-ghc,haskell-clash-lib
clash-ghc,haskell-clash-prelude
clash-ghc,haskell-concurrent-supply
clash-ghc,haskell-data-binary-ieee754
clash-ghc,haskell-extra
clash-ghc,haskell-ghc
clash-ghc,haskell-ghc-typelits-extra
clash-ghc,haskell-ghc-typelits-knownnat
clash-ghc,haskell-ghc-typelits-natnormalise
clash-ghc,haskell-hashable
clash-ghc,haskell-lens
clash-ghc,haskell-primitive
clash-ghc,haskell-reflection
clash-ghc,haskell-split
clash-ghc,haskell-string-interpolate
clash-ghc,haskell-uniplate
clash-ghc,haskell-unordered-containers
clash-ghc,haskell-utf8-string
clash-ghc,haskell-vector
claws-mail,gtk3
claws-mail,gnutls
claws-mail,startup-notification
claws-mail,enchant
claws-mail,gpgme
claws-mail,libetpan
claws-mail,compface
claws-mail,libsm
claws-mail,dbus-glib
clazy,clang
clazy,gcc-libs
clazy,glibc
clazy,llvm-libs
clazy,sh
clblast,gcc-libs
clblast,glibc
clblast,ocl-icd
clblast,opencl-headers
clevis,bash
clevis,jose
clinfo,opencl-icd-loader
clipcat,gcc-libs
clipgrab,gcc-libs
clipgrab,glibc
clipgrab,qt5-base
clipgrab,qt5-webengine
clipgrab,yt-dlp
cliphist,glibc
cliphist,wl-clipboard
clipmenu,dmenu
clipmenu,xsel
clipmenu,clipnotify
clipmenu,xdotool
clipnotify,libx11
clipnotify,libxfixes
cliquer,glibc
clisp,readline
clisp,libsigsegv
clisp,ffcall
clisp,libxcrypt
clisp,libunistring
cln,gmp
cloc,perl
cloc,perl-algorithm-diff
cloc,perl-regexp-common
cloc,perl-parallel-forkmanager
clojure,java-environment
clonezilla,drbl
clonezilla,partclone
clonezilla,ntfs-3g
clonezilla,partimage
clonezilla,pigz
clonezilla,sshfs
clonezilla,parted
clonezilla,gptfdisk
clonezilla,dosfstools
clonezilla,gzip
clonezilla,bzip2
clonezilla,pbzip2
clonezilla,lbzip2
clonezilla,lrzip
clonezilla,xz
clonezilla,pixz
clonezilla,lzop
clonezilla,ecryptfs-utils
clonezilla,screen
clonezilla,perl
clonezilla,cifs-utils
cloud-guest-utils,bash
cloud-guest-utils,python
cloud-image-utils,bash
cloud-image-utils,ca-certificates
cloud-image-utils,cdrtools
cloud-image-utils,python
cloud-image-utils,qemu-img
cloud-image-utils,wget
cloud-init,bash
cloud-init,dhclient
cloud-init,openbsd-netcat
cloud-init,python
cloud-init,python-configobj
cloud-init,python-jinja
cloud-init,python-jsonpatch
cloud-init,python-jsonschema
cloud-init,python-netifaces
cloud-init,python-oauthlib
cloud-init,python-pyserial
cloud-init,python-pyyaml
cloud-init,python-requests
cloud-init,python-typing_extensions
cloud-init,sudo
cloud-init,systemd
cloud-utils,cloud-guest-utils
cloud-utils,cloud-image-utils
cloudflared,glibc
clpeak,ocl-icd
clpeak,gcc-libs
clthreads,gcc-libs
clthreads,glibc
clucene,gcc-libs
clucene,zlib
clucene,glibc
clusterssh,xterm
clusterssh,perl-exception-class
clusterssh,perl-try-tiny
clusterssh,perl-tk
clusterssh,perl-x11-protocol-other
clutter,gtk3
clutter,cogl
clutter,libinput
clutter,libcogl.so
clutter,libcogl-pango.so
clutter,libcogl-path.so
clutter-gst,clutter
clutter-gst,gst-plugins-base-libs
clutter-gst,libxdamage
clutter-gst,libgudev
clutter-gst,gdk-pixbuf2
clutter-gtk,clutter
clxclient,gcc-libs
clxclient,glibc
clxclient,libx11
clxclient,libxft
cm256cc,gcc-libs
cm256cc,glibc
cmake,cppdap
cmake,curl
cmake,expat
cmake,gcc-libs
cmake,glibc
cmake,hicolor-icon-theme
cmake,jsoncpp
cmake,libarchive
cmake,libuv
cmake,ncurses
cmake,rhash
cmake,zlib
cmark,glibc
cmark-gfm,glibc
cmatrix,ncurses
cmctl,kubectl
cmocka,glibc
cmt,gcc-libs
cmt,glibc
cmus,libdiscid
cmus,ncurses
cni-plugins,glibc
cobalt,gcc-libs
cobalt,glibc
cobalt,libsass
cobalt,openssl
cockatrice,qt6-base
cockatrice,protobuf
cockatrice,qt6-tools
cockatrice,qt6-svg
cockatrice,qt6-multimedia
cockatrice,qt6-websockets
cockatrice,qt6-imageformats
cockatrice,qt6-translations
cockpit,krb5
cockpit,libssh
cockpit,json-glib
cockpit,glib-networking
cockpit,libpwquality
cockpit,systemd
cockpit,openssl
cockpit,kexec-tools
cockpit,python
cockpit,gobject-introspection-runtime
cockpit-files,cockpit
cockpit-machines,cockpit
cockpit-machines,libvirt-dbus
cockpit-packagekit,cockpit
cockpit-packagekit,polkit
cockpit-packagekit,packagekit
cockpit-packagekit,python
cockpit-podman,cockpit
cockpit-podman,podman
cockpit-storaged,cockpit
cockpit-storaged,udisks2
cockpit-storaged,dbus-python
cocogitto,git
cocogitto,gcc-libs
cocogitto,libgit2
cocogitto,zlib
cocogitto,libgit2.so
cocogitto,libz.so
code,electron32
code,libsecret
code,libx11
code,libxkbfile
code,ripgrep
codeblocks,wxwidgets-gtk3
codeblocks,hunspell
codespell,python-chardet
coeurl,gcc-libs
coeurl,glibc
coeurl,curl
coeurl,libcurl.so
coeurl,fmt
coeurl,libfmt.so
coeurl,libevent
coeurl,libevent_core-2.1.so
coeurl,libevent_pthreads-2.1.so
coeurl,spdlog
coeurl,libspdlog.so
coffeescript,nodejs
cogl,mesa
cogl,libdrm
cogl,libxext
cogl,libxdamage
cogl,libxcomposite
cogl,gdk-pixbuf2
cogl,pango
cogl,libxrandr
coin,libgl
coin-or-asl,glibc
coin-or-cbc,coin-or-asl
coin-or-cbc,coin-or-cgl
coin-or-cbc,coin-or-clp
coin-or-cbc,coin-or-coinutils
coin-or-cbc,coin-or-osi
coin-or-cbc,glibc
coin-or-cbc,gcc-libs
coin-or-cbc,nauty
coin-or-cgl,coin-or-clp
coin-or-cgl,coin-or-coinutils
coin-or-cgl,coin-or-osi
coin-or-cgl,gcc-libs
coin-or-cgl,glibc
coin-or-clp,coin-or-asl
coin-or-clp,coin-or-coinutils
coin-or-clp,coin-or-osi
coin-or-clp,gcc-libs
coin-or-clp,glibc
coin-or-clp,suitesparse
coin-or-coinutils,blas
coin-or-coinutils,bzip2
coin-or-coinutils,coin-or-data-sample
coin-or-coinutils,gcc-libs
coin-or-coinutils,glibc
coin-or-coinutils,glpk
coin-or-coinutils,lapack
coin-or-coinutils,zlib
coin-or-csdp,blas
coin-or-csdp,glibc
coin-or-csdp,lapack
coin-or-lemon,coin-or-cbc
coin-or-lemon,coin-or-clp
coin-or-lemon,glpk
coin-or-mp,coin-or-cbc
coin-or-mp,coin-or-cgl
coin-or-mp,coin-or-clp
coin-or-mp,coin-or-coinutils
coin-or-mp,gcc-libs
coin-or-mp,glibc
coin-or-osi,coin-or-coinutils
coin-or-osi,gcc-libs
coin-or-osi,glibc
collision,dconf
collision,gc
collision,gcc-libs
collision,glib2
collision,glibc
collision,gtk4
collision,hicolor-icon-theme
collision,libadwaita
collision,libevent
collision,openssl
collision,pcre2
collision,zlib
colord,dbus
colord,dconf
colord,lcms2
colord,libgudev
colord,libgusb
colord,polkit
colord,shared-mime-info
colord,sqlite
colord,systemd
colord,libcolord
colord-gtk,colord-gtk-common
colord-gtk,cairo
colord-gtk,glib2
colord-gtk,glibc
colord-gtk,gtk3
colord-gtk,libcolord
colord-gtk4,colord-gtk-common
colord-gtk4,cairo
colord-gtk4,glib2
colord-gtk4,glibc
colord-gtk4,gtk4
colord-gtk4,libcolord
colord-kde,colord
colord-kde,gcc-libs
colord-kde,glibc
colord-kde,kcmutils
colord-kde,kcoreaddons
colord-kde,kdbusaddons
colord-kde,ki18n
colord-kde,kirigami
colord-kde,kitemmodels
colord-kde,kwidgetsaddons
colord-kde,lcms2
colord-kde,libx11
colord-kde,libxrandr
colord-kde,qt6-base
colord-kde,qt6-declarative
colord-sane,colord
colord-sane,sane
colordiff,perl
colordiff,diffutils
colorgcc,perl
colorhug-client,colord-gtk
colorhug-client,libcanberra
colorhug-client,libsoup
colorhug-client,colord
comgr,glibc
comgr,gcc-libs
comgr,zstd
comgr,zlib
comgr,ncurses
comgr,rocm-core
comgr,rocm-llvm
comgr,rocm-device-libs
commit,dconf
commit,gjs
commit,glib2
commit,gtk4
commit,gtksourceview5
commit,hicolor-icon-theme
commit,libadwaita
commit,libspelling
committed,gcc-libs
committed,glibc
committed,libgit2
committed,zlib
committed,libgit2.so
committed,libz.so
communicator,gcc-libs
communicator,glibc
communicator,kcontacts
communicator,kcoreaddons
communicator,ki18n
communicator,kio
communicator,kpeople
communicator,mauikit
communicator,mauikit-filebrowsing
communicator,qt6-base
communicator,qt6-declarative
compface,glibc
compiler-rt,gcc-libs
compiler-rt14,gcc-libs
composable-kernel,rocm-core
composable-kernel,glibc
composable-kernel,gcc-libs
composable-kernel,hip-runtime-amd
composefs,gcc-libs
composefs,glibc
composefs,openssl
composer,php
composer,unzip
compsize,glibc
comtool,python-pyqt5
comtool,python-pyserial
comtool,python-requests
comtool,python-babel
comtool,python-qtawesome
confuse,glibc
conky,cairo
conky,curl
conky,libcurl.so
conky,fontconfig
conky,gcc-libs
conky,glib2
conky,glibc
conky,hicolor-icon-theme
conky,imlib2
conky,libpulse
conky,libpulse.so
conky,libx11
conky,libxdamage
conky,libxext
conky,libxfixes
conky,libxft
conky,libxi
conky,libxinerama
conky,libxml2
conky,libxnvctrl
conky,libXNVCtrl.so
conky,lua
conky,ncurses
conky,libncursesw.so
conky,pango
conky,systemd-libs
conky,libsystemd.so
conky,wayland
conky,wireless_tools
conky-manager,cairo
conky-manager,conky
conky-manager,gtk3
conky-manager,imagemagick
conky-manager,json-glib
conky-manager,libgee
conky-manager,p7zip
conky-manager,rsync
conmon,glibc
conmon,glib2
conmon,systemd
connman,dbus
connman,gcc-libs
connman,glib2
connman,glibc
connman,gnutls
connman,iptables
connman,libmnl
connman,readline
conntrack-tools,glibc
conntrack-tools,libnetfilter_conntrack
conntrack-tools,libnetfilter_cttimeout
conntrack-tools,libnetfilter_cthelper
conntrack-tools,libnetfilter_queue
conntrack-tools,libmnl
conntrack-tools,systemd-libs
conntrack-tools,libnfnetlink
consul,glibc
consul-template,glibc
container-diff,glibc
containerd,runc
containers-common,container-network-stack
contour,fontconfig
contour,freetype2
contour,gcc-libs
contour,glibc
contour,harfbuzz
contour,libssh2
contour,libunicode
contour,libutempter
contour,libxcb
contour,qt6-5compat
contour,qt6-base
contour,qt6-declarative
contour,qt6-multimedia
contour,qt6-shadertools
contour,qt6-wayland
contour,yaml-cpp
contractor,glib2
contractor,libgee
contrast,gcc-libs
contrast,glib2
contrast,glibc
contrast,graphene
contrast,gtk4
contrast,hicolor-icon-theme
contrast,libadwaita
contrast,pango
converseen,hicolor-icon-theme
converseen,imagemagick
converseen,qt6-base
convertlit,glibc
convertlit,libtommath
convmv,perl
cool-retro-term,qmltermwidget
cool-retro-term,qt5-quickcontrols
cool-retro-term,qt5-quickcontrols2
cool-retro-term,qt5-graphicaleffects
cool-retro-term,hicolor-icon-theme
coolreader,fribidi
coolreader,hicolor-icon-theme
coolreader,libunibreak
coolreader,qt5-base
coordgen,gcc-libs
coordgen,glibc
coordgen,maeparser
copr-cli,python
copr-cli,python-copr
copr-cli,python-humanize
copr-cli,python-jinja
copr-cli,python-requests
copr-cli,python-setuptools
copr-cli,python-six
copyq,hicolor-icon-theme
copyq,qt5-svg
copyq,qt5-wayland
copyq,knotifications5
coq,ocaml
coq,ocaml-findlib
coqide,ocaml
coqide,ocaml-findlib
coqide,coq
coqide,gtk3
coqide,gtksourceview3
cordova,node-gyp
cordova,nodejs-nopt
cordova,npm
cordova,semver
corectrl,procps-ng
corectrl,hwdata
corectrl,quazip-qt5
corectrl,qt5-charts
corectrl,qt5-quickcontrols2
corectrl,qt5-base
corectrl,botan
corectrl,qt5-svg
corectrl,qt5-xmlpatterns
corectrl,qt5-base
corectrl,dbus
corectrl,polkit
corectrl,fmt
corectrl,pugixml
corectrl,hicolor-icon-theme
corectrl,spdlog
corectrl,fmt
corectrl,libfmt.so
corrosion,cmake
corrosion,rust
cosign,glibc
cosign,pcsclite
cosmic-app-library,cosmic-icon-theme
cosmic-app-library,gcc-libs
cosmic-app-library,glibc
cosmic-app-library,libxkbcommon
cosmic-applets,cosmic-icon-theme
cosmic-applets,dbus
cosmic-applets,gcc-libs
cosmic-applets,glibc
cosmic-applets,libinput
cosmic-applets,libpulse
cosmic-applets,libxkbcommon
cosmic-applets,systemd-libs
cosmic-bg,cosmic-icon-theme
cosmic-bg,gcc-libs
cosmic-bg,glibc
cosmic-bg,libxkbcommon
cosmic-comp,fontconfig
cosmic-comp,gcc-libs
cosmic-comp,glibc
cosmic-comp,libseat.so
cosmic-comp,libinput
cosmic-comp,libxcb
cosmic-comp,libxkbcommon
cosmic-comp,mesa
cosmic-comp,pixman
cosmic-comp,systemd-libs
cosmic-comp,wayland
cosmic-files,gcc-libs
cosmic-files,glib2
cosmic-files,glibc
cosmic-files,cosmic-icon-theme
cosmic-files,libxkbcommon
cosmic-files,xdg-utils
cosmic-greeter,cosmic-comp
cosmic-greeter,gcc-libs
cosmic-greeter,glibc
cosmic-greeter,greetd
cosmic-greeter,libxkbcommon
cosmic-greeter,pam
cosmic-greeter,wayland
cosmic-icon-theme,pop-icon-theme
cosmic-idle,gcc-libs
cosmic-idle,glibc
cosmic-idle,libxkbcommon
cosmic-idle,wayland
cosmic-launcher,cosmic-icon-theme
cosmic-launcher,gcc-libs
cosmic-launcher,glibc
cosmic-launcher,libxkbcommon
cosmic-launcher,pop-launcher
cosmic-launcher,wayland
cosmic-notifications,cosmic-icon-theme
cosmic-notifications,gcc-libs
cosmic-notifications,glibc
cosmic-notifications,libxkbcommon
cosmic-notifications,wayland
cosmic-osd,gcc-libs
cosmic-osd,glibc
cosmic-osd,libpulse
cosmic-osd,libxkbcommon
cosmic-osd,systemd-libs
cosmic-osd,wayland
cosmic-panel,gcc-libs
cosmic-panel,glibc
cosmic-panel,libxkbcommon
cosmic-panel,wayland
cosmic-randr,gcc-libs
cosmic-randr,glibc
cosmic-randr,wayland
cosmic-screenshot,cosmic-icon-theme
cosmic-screenshot,gcc-libs
cosmic-screenshot,glibc
cosmic-screenshot,xdg-desktop-portal-cosmic
cosmic-session,bash
cosmic-session,cosmic-applets
cosmic-session,cosmic-app-library
