pkg,depends
grub,device-mapper
grub,gettext
grub,sh
grub,xz
gssproxy,libverto-module-base
gssproxy,popt
gssproxy,ding-libs
gssproxy,systemd-libs
gssproxy,krb5
gssproxy,glibc
guile,gmp
guile,ncurses
guile,libunistring
guile,gc
guile,libffi
guile,libxcrypt
gzip,glibc
gzip,bash
gzip,coreutils
gzip,sed
gzip,grep
hdparm,glibc
icu,gcc-libs
icu,glibc
icu,sh
inetutils,glibc
inetutils,pam
inetutils,libcap
inetutils,readline
inetutils,ncurses
inetutils,libxcrypt
inetutils,libpam.so
inetutils,libcrypt.so
inetutils,libreadline.so
inetutils,libncursesw.so
iproute2,glibc
iproute2,libxtables.so
iproute2,libcap
iproute2,libcap.so
iproute2,libelf
iproute2,libbpf
iproute2,libbpf.so
iptables,libnftnl
iptables,libpcap
iptables,libnfnetlink
iptables,libnetfilter_conntrack
iptables,bash
iptables-nft,libnftnl
iptables-nft,libpcap
iptables-nft,libnfnetlink
iptables-nft,libnetfilter_conntrack
iptables-nft,bash
iptables-nft,nftables
iputils,libcap
iputils,libidn2
iw,libnl
jansson,glibc
jfsutils,util-linux
json-c,glibc
kbd,glibc
kbd,gzip
kbd,pam
keyutils,glibc
keyutils,sh
kmod,glibc
kmod,zlib
kmod,openssl
kmod,xz
kmod,zstd
krb5,bash
krb5,e2fsprogs
krb5,glibc
krb5,keyutils
krb5,libldap
krb5,libverto-module-base
krb5,openssl
krb5,lmdb
krb5,libcom_err.so
krb5,libkeyutils.so
krb5,libss.so
krb5,libverto.so
ldns,openssl
ldns,dnssec-anchors
lemon,glibc
less,glibc
less,ncurses
less,pcre2
lib32-gcc-libs,lib32-glibc
lib32-glibc,glibc
libaio,glibc
libarchive,acl
libarchive,libacl.so
libarchive,bzip2
libarchive,libbz2.so
libarchive,libxml2
libarchive,libxml2.so
libarchive,lz4
libarchive,openssl
libarchive,libcrypto.so
libarchive,xz
libarchive,liblzma.so
libarchive,zlib
libarchive,libz.so
libarchive,zstd
libarchive,libzstd.so
libassuan,glibc
libassuan,libgpg-error
libassuan,sh
libbpf,glibc
libbpf,libelf
libbpf,linux-api-headers
libbpf,zlib
libcap,gcc-libs
libcap,glibc
libcap,pam
libcap-ng,glibc
libcurl-compat,curl
libcurl-gnutls,curl
libcurl-gnutls,gnutls
libedit,glibc
libedit,ncurses
libedit,libncursesw.so
libelf,bzip2
libelf,libbz2.so
libelf,curl
libelf,libcurl.so
libelf,glibc
libelf,json-c
libelf,xz
libelf,liblzma.so
libelf,zlib
libelf,zstd
libelf,libzstd.so
libevent,openssl
libffi,glibc
libgccjit,gcc
libgccjit,libisl.so
libgcrypt,libgpg-error
libgcrypt,glibc
libgpg-error,glibc
libgpg-error,sh
libidn2,libunistring
libidn2,libunistring.so
libinih,gcc-libs
libinih,glibc
libisl,gmp
libksba,bash
libksba,libgpg-error
libksba,glibc
libldap,libsasl
libmicrohttpd,gnutls
libmnl,glibc
libmpc,glibc
libmpc,gmp
libmpc,mpfr
libnetfilter_conntrack,libnfnetlink
libnetfilter_conntrack,libmnl
libnfnetlink,glibc
libnftnl,libmnl
libnghttp2,glibc
libnghttp3,glibc
libnl,glibc
libnl,gcc-libs
libnsl,glibc
libnsl,libtirpc
libp11-kit,glibc
libp11-kit,libffi
libp11-kit,libtasn1
libpcap,glibc
libpcap,libnl
libpcap,sh
libpcap,libdbus-1.so
libpipeline,glibc
libpsl,libidn2
libpsl,libunistring
libpsl,libidn2.so
libpsl,libunistring.so
libsasl,glibc
libsasl,gdbm
libsasl,libgdbm.so
libsasl,openssl
libsasl,libcrypto.so
libseccomp,glibc
libsecret,glib2
libsecret,libgcrypt
libsecret,tpm2-tss
libssh2,openssl
libssh2,zlib
libtasn1,glibc
libtirpc,krb5
libtirpc,glibc
libtool,sh
libtool,tar
libtool,glibc
libunistring,glibc
libusb,glibc
libusb,systemd-libs
libusb,libudev.so
libverto,glibc
libverto,libevent
libxcrypt,glibc
libxcrypt-compat,libxcrypt
libxml2,bash
