arch-wiki-lite,xdg-utils
archinstall,python-systemd
archiso,edk2-ovmf
archiso,gnupg
archiso,grub
archiso,openssl
archiso,qemu-desktop
archlinux-contrib,python-requests
archlinux-contrib,jq
archlinux-contrib,pacman-contrib
archlinux-themes-slim,slim
archlinux-wallpaper,wallutils
ardour,harvid
ardour,new-session-manager
ardour,xjadeo
arduino-builder,arduino-avr-core
arduino-fwuploader,arduino-cli
arduino-ide,arduino-language-server
arduino-ide,clang
arduino-ide,libusb
arduino-ide,libusb-compat
arduino-ide,python-pyserial
arduino-ide,usbutils
ark,arj
ark,lrzip
ark,lzop
ark,p7zip
ark,unarchiver
ark,unrar
arm-none-eabi-gcc,arm-none-eabi-newlib
arm-none-eabi-gdb,stlink
arp-scan,perl-text-csv
arp-scan,perl-lwp-protocol-https
arrayfire,cuda
arrayfire,nvidia-utils
arrayfire,cudnn
arrayfire,opencl-driver
arrayfire,ocl-icd
asciidoc,graphviz
asciidoc,lilypond
asciidoc,imagemagick
asciidoc,source-highlight
asciidoc,dblatex
asciidoc,fop
asciidoc,w3m
asciidoc,lynx
asciidoctor-pdf,ruby-coderay
aspell,perl
aspnet-runtime,bash-completion
aspnet-runtime-6.0,bash-completion
aspnet-runtime-7.0,bash-completion
aspnet-targeting-pack,bash-completion
aspnet-targeting-pack-6.0,bash-completion
aspnet-targeting-pack-7.0,bash-completion
astroid,cmark
astroid,emacs
astroid,gvim
astyle,java-environment-openjdk
asunder,lame
asunder,vorbis-tools
asunder,fdkaac
asunder,flac
asunder,opus-tools
asunder,wavpack
asunder,musepack-tools
asunder,mac
asymptote,python-pyqt5
asymptote,python-cson
asymptote,ghostscript
atool,bzip2
atool,cpio
atool,gzip
atool,lha
atool,xz
atool,lzop
atool,p7zip
atool,tar
atool,unace
atool,unrar
atool,zip
atool,unzip
atools,abuild
atop,python-pynvml
atril,caja
atril,texlive-bin
atuin,bash-preexec
aubio,python-aubio
audacity,audacity-docs
audacity,ffmpeg
audaspace,python
audaspace,python-numpy
audex,faac
audex,flac
audex,lame
audex,vorbis-tools
audio-convert,faac
audio-convert,faad2
audio-convert,flac
audio-convert,id3lib
audio-convert,lame
audio-convert,mplayer
audio-convert,musepack-tools
audio-convert,vorbis-tools
audiocd-kio,opus-tools
auto-multiple-choice,perl-email-sender
auto-multiple-choice,perl-module-pluggable
auto-multiple-choice,perl-email-mime
autoconf-archive,automake
autorandr,bash-completion
autorandr,zsh-completions
av1an,svt-av1
av1an,rav1e
av1an,libvpx
av1an,vmaf
av1an,mkvtoolnix-cli
av1an,ffms2
av1an,vapoursynth-plugin-lsmashsource
avahi,gtk3
avahi,libevent
avahi,nss-mdns
avahi,python-dbus
avahi,python-gobject
avahi,python-twisted
avahi,qt5-base
avidemux-cli,lame
avidemux-cli,faac
avidemux-cli,faad2
avidemux-cli,opus
avidemux-cli,opencore-amr
avidemux-cli,jack
avidemux-cli,libpulse
avidemux-cli,x264
avidemux-cli,libx264
avidemux-cli,x265
avidemux-cli,xvidcore
avidemux-cli,qt5-base
avidemux-cli,libdca
avidemux-cli,libfdk-aac
avidemux-cli,twolame
avidemux-cli,libass
avidemux-cli,fribidi
avisynthplus,devil
avogadro-fragments,python-openbabel
avogadrolibs,avogadrolibs-qt5
avr-gcc,avr-libc
awesome,rlwrap
awesome,dex
awesome,vicious
aws-vault,zenity
aws-vault,kdialog
awxkit,jq
awxkit,python-cryptography
azote,imagemagick
azote,grim
azote,slurp
azote,maim
azote,libappindicator-gtk3
azote,python-yaml
azote,swaybg
azote,feh
azote,xorg-xrandr
azote,wlr-randr
b4,python-dkim
backuppc,openssh
backuppc,rsync
backuppc,smbclient
backuppc,rrdtool
bacon,cargo
bacon,eslint
bacon,python
bacon,python-pytest
baka-mplayer,qt5-translations
baka-mplayer,youtube-dl
baloo,qt6-declarative
baresip,libfdk-aac
baresip,alsa-lib
baresip,opencore-amr
baresip,aom
baresip,codec2
baresip,ffmpeg
baresip,gsm
baresip,gst-plugins-bad
baresip,gst-plugins-base
baresip,gst-plugins-good
baresip,gst-plugins-ugly
baresip,gtk3
baresip,jack2
baresip,lame
baresip,libvpx
baresip,libsndfile
baresip,libpng
baresip,libpulse
baresip,libx11
baresip,mpg123
baresip,mosquitto
baresip,opus
baresip,portaudio
baresip,sdl2
baresip,spandsp
baresip,speexdsp
baresip,sndio
baresip,v4l-utils
bash-language-server,bash-completion
bash-language-server,man-db
bash-language-server,shellcheck
bash-language-server,shfmt
bashburn,dvd+rw-tools
bashburn,cdparanoia
bashburn,vorbis-tools
bashburn,flac
bashburn,mpg123
bashburn,sudo
bashrun,xdotool
bashtop,curl
bashtop,lm_sensors
bashtop,sysstat
bashtop,python-psutil
bat-extras,ncurses
bat-extras,git-delta
bat-extras,fzf
bat-extras,exa
bat-extras,entr
bat-extras,prettier
bat-extras,shfmt
bat-extras,rustfmt
bat-extras,clang
bat-extras,python-black
bcc,linux-headers
bcc,linux-lts-headers
bcc,linux-zen-headers
bcc,linux-hardened-headers
bcc,bcc-tools
bcc,python-bcc
bcc,luajit
beets,bash-completion
beets,chromaprint
beets,ffmpeg
beets,gst-plugins-bad
beets,gst-plugins-good
beets,gst-plugins-ugly
beets,gst-libav
beets,gst-python
beets,imagemagick
beets,python-beautifulsoup4
beets,python-discogs-client
beets,python-flask
beets,python-gobject
beets,python-mpd2
beets,python-pyacoustid
beets,python-pylast
beets,python-requests
beets,python-requests-oauthlib
beets,python-xdg
bespokesynth,jack
bespokesynth,python-jedi
bettercap,bettercap-caplets
bettercap-caplets,java-runtime
bftpd,logrotate
bigloo,emacs
bigloo,zip
bigloo,sqlite
bigloo,alsa-lib
bigloo,flac
bigloo,avahi
binwalk,python-opengl
binwalk,python-capstone
binwalk,python-matplotlib
binwalk,python-pyqtgraph
binwalk,python-numpy
binwalk,python-numba
binwalk,python-gnupg
binwalk,arj
binwalk,cabextract
binwalk,cpio
binwalk,gzip
binwalk,mtd-utils
binwalk,p7zip
binwalk,squashfs-tools
binwalk,tar
binwalk,unrar
binwalk,lhasa
binwalk,sleuthkit
blender,cuda
blender,intel-compute-runtime
blender,hip-runtime-amd
blender,hiprt
blender,libdecor
bluedevil,bluez-obex
bluedevil,pulseaudio-bluetooth
bluefish,gucharmap
blueman,dnsmasq
blueman,iproute2
blueman,networkmanager
blueman,pulseaudio-bluetooth
bluez-qt,qt6-declarative
bluez-qt5,qt5-declarative
bluez-utils,ell
bmake,python
bnfc,ghc
bnfc,alex
bnfc,happy
bogofilter-kyotocabinet,db5.3
bogofilter-lmdb,db5.3
bogofilter-sqlite,db5.3
boost,python
boost-libs,openmpi
booster,busybox
booster,yubikey-personalization
booster,libfido2
borg,openssh
borg,python-pyfuse3
borgmatic,apprise
borgmatic,python-pyfuse3
botan,boost-libs
botan,python
botan2,python
bpython,python-urwid
bpython,python-jedi
bpython,python-watchdog
brasero,libburn
brasero,libisofs
brasero,dvdauthor
brasero,vcdimager
breeze,breeze-gtk
breeze,breeze5
breezy,python-fastimport
breezy,python-gpgme
breezy,python-paramiko
brltty,at-spi2-core
brltty,brltty-udev-generic
brltty,espeak-ng
brltty,java-runtime
brltty,libxaw
brltty,libxt
brltty,libx11
brltty,libxfixes
brltty,libxtst
brltty,ocaml
brltty,python
brltty,speech-dispatcher
brltty,tcl
browserpass,browserpass-chromium
browserpass,browserpass-firefox
bsd-games,words
bspwm,sxhkd
bspwm,xdo
btfs,python
btop,rocm-smi-lib
btrbk,bash
btrbk,mbuffer
btrbk,openssh
btrbk,python
budgie-control-center,system-config-printer
budgie-control-center,gnome-user-share
budgie-control-center,rygel
budgie-control-center,openssh
budgie-control-center,power-profiles-daemon
budgie-desktop,budgie-desktop-view
budgie-desktop,budgie-backgrounds
budgie-desktop,network-manager-applet
budgie-desktop,power-profiles-daemon
budgie-desktop,switcheroo-control
bugzilla,perl-dbd-pg
bugzilla,perl-dbd-mysql
bugzilla,perl-dbd-sqlite
bugzilla,perl-dbd-odbc
bugzilla,ruby
bugzilla,perl-net-smtp-ssl
buildbot,python-pyopenssl
buildbot,pass
buildbot,vault
buildbot,python-hvac
buildbot,python-subunit
buildbot,python-treq
buildbot,python-requests
buildbot,python-txrequests
buildbot,buildbot-worker
buildbot,libvirt-python
buildbot,python-boto3
buildbot,python-botocore
buildbot,python-docker
buildbot,python-novaclient
buildbot,python-keystoneauth1
buildbot,python-graphql-core
buildbot,python-ldap3
buildbot,python-pypugjs
buildbot,python-lz4
buildbot,python-aiohttp
buildbot,python-markdown
buildbot-worker,buildbot
bullet,glu
bullet,python
bullet,python-numpy
bullet,bullet-docs
bullet-dp,glu
bullet-dp,python
bullet-dp,python-numpy
bullet-dp,bullet-docs
bully,pixiewps
bumblebee,bbswitch
bumblebee,nvidia
bumblebee,nvidia-390xx
bumblebee,nvidia-340xx
bumblebee,primus
bumblebee,lib32-virtualgl
bumblebee,lib32-primus
bup,python-tornado
cacti,mariadb
cacti,perl
cacti,php-fpm
cacti,uwsgi-plugin-php
cage,polkit
cage,xorg-server-xwayland
cairo-dock,cairo-dock-plug-ins
cairo-dock-plug-ins,alsa-lib
cairo-dock-plug-ins,fftw
cairo-dock-plug-ins,gnome-menus
cairo-dock-plug-ins,gvfs
cairo-dock-plug-ins,libetpan
cairo-dock-plug-ins,libexif
cairo-dock-plug-ins,libical
cairo-dock-plug-ins,libpulse
cairo-dock-plug-ins,libxklavier
cairo-dock-plug-ins,lm_sensors
cairo-dock-plug-ins,python
cairo-dock-plug-ins,ruby
cairo-dock-plug-ins,upower
cairo-dock-plug-ins,vte3
cairo-dock-plug-ins,wireless_tools
cairo-dock-plug-ins,zeitgeist
caja,gstreamer
caja-sendto,pidgin
caja-sendto,gajim
calcurse,python
calcurse,python-httplib2
calcurse,python-pyparsing
calcurse,python-oauth2client
calibre,poppler
calibre,python-fonttools
calibre,speech-dispatcher
calligra,libetonyek
calligra,libvisio
calligra,libwpg
calligra,libwps
calligra,poppler
calligra,pstoedit
calligra,qt6-webengine
canto-daemon,python-requests
cantor,maxima
cantor,octave
cantor,r
cantor,luajit
cantor,python
cantor,sagemath
cantor,julia
cardinal-clap,carla
cardinal-clap,mpv
cardinal-clap,xdg-desktop-portal-impl
cardinal-lv2,carla
cardinal-lv2,mpv
cardinal-lv2,xdg-desktop-portal-impl
cardinal-standalone,carla
cardinal-standalone,mpv
cardinal-standalone,xdg-desktop-portal-impl
cardinal-vst,carla
cardinal-vst,mpv
cardinal-vst,xdg-desktop-portal-impl
cardinal-vst3,carla
cardinal-vst3,mpv
cardinal-vst3,xdg-desktop-portal-impl
cargo-pgrx,postgresql
carla,jack
carla,lv2-host
carla,vst-host
carla,python-requests
carla,python-tornado
catdoc,tk
catfish,plocate
catfish,zeitgeist
cblas64,cblas
cdemu-daemon,alsa-lib
cdemu-daemon,pulse-native-provider
ceres-solver,openmp
certbot,certbot-apache
certbot,certbot-nginx
certbot-dns-inwx,python-dnspython
cgit,groff
cgit,python-pygments
cgit,python-docutils
cgit,python-markdown
cgit,lua51-luaossl
cgit,gzip
cgit,bzip2
cgit,lzip
cgit,xz
cgit,zstd
cgit,mime-types
cgit-aurweb,groff
cgit-aurweb,python-pygments
cgit-aurweb,python-docutils
cgit-aurweb,python-markdown
cgit-aurweb,lua51-luaossl
cgit-aurweb,gzip
cgit-aurweb,bzip2
cgit-aurweb,lzip
cgit-aurweb,xz
cgit-aurweb,zstd
cgit-aurweb,mime-types
check,check-docs
check-jsonschema,python-json5
check-jsonschema,python-orjson
chicken,tk
chromium,pipewire
chromium,kdialog
chromium,gtk4
chromium,org.freedesktop.secrets
chromium,kwallet
chromium,upower
cifs-utils,python
cinnamon,blueman
cinnamon,cinnamon-translations
cinnamon,gnome-panel
cinnamon,metacity
cinnamon,system-config-printer
cinnamon,wget
cinnamon,gnome-terminal
cinnamon,touchegg
cinnamon,switcheroo-control
cinnamon-control-center,cinnamon-translations
cinnamon-control-center,gnome-color-manager
cinnamon-control-center,gnome-online-accounts
cinnamon-screensaver,cinnamon-translations
cinnamon-session,cinnamon-translations
cinnamon-settings-daemon,cinnamon-translations
cjdns,nodejs
clang,openmp
clang,python
clang,llvm
clang14,openmp
clang14,llvm14
claws-mail,python
claws-mail,perl
claws-mail,spamassassin
claws-mail,bogofilter
