pkg,provides
oath-toolkit,libpskc.so
ocaml-zarith,zarith
ocl-icd,opencl-icd-loader
one_gadget,ruby-one_gadget
onednn,intel-dnnl
onednn,mkl-dnn
onetbb,intel-tbb
onetbb,tbb
onnxruntime-opt,onnxruntime
onnxruntime-opt-rocm,onnxruntime
onnxruntime-rocm,onnxruntime
openal,libopenal.so
openbox,libobrender.so
openbsd-netcat,netcat
opencl-clover-mesa,opencl-driver
opencl-nvidia,opencl-driver
opencl-rusticl-mesa,opencl-driver
openconnect,libopenconnect.so
opencore-amr,libopencore-amrwb.so
opencore-amr,libopencore-amrnb.so
opencv-cuda,opencv
opendesktop-fonts,ttf-fireflysung
opendoas,doas
openfec,libopenfec.so
openh264,libopenh264.so
openjade,jade
openjdk-doc,openjdk23-doc
openjdk-src,openjdk23-src
openjdk11-doc,openjdk11-doc
openjdk11-src,openjdk11-src
openjdk17-doc,openjdk17-doc
openjdk17-src,openjdk17-src
openjdk21-doc,openjdk21-doc
openjdk21-src,openjdk21-src
openmpi,libmpi.so
openmpi,libmpi_mpifh.so
openmpi,libmpi_usempi_ignore_tkr.so
openmpi,libmpi_usempif08.so
openmpi,libopen-pal.so
openmpi,liboshmem.so
openpmix,libpmix.so
openpmix,pmix
openresolv,resolvconf
openscenegraph,openthreads
opensmtpd,smtp-server
opensmtpd,smtp-forwarder
openucc,libucc.so
openucx,libucm.so
openucx,libucp.so
openucx,libucs.so
openucx,libucs_signal.so
openucx,libuct.so
opus,libopus.so
orbiton-nano,nano
orc,liborc-0.4.so
orc,liborc-test-0.4.so
orcania,liborcania.so
oscpack,liboscpack.so
ostree,libostree-1.so
otf-atkinson-hyperlegible,atkinson-hyperlegible-font
otf-aurulent-nerd,ttf-font-nerd
otf-codenewroman-nerd,ttf-font-nerd
otf-comicshanns-nerd,ttf-font-nerd
otf-commit-mono-nerd,ttf-font-nerd
otf-crimson,crimson-font
otf-crimson,otf-crimson-text
otf-droid-nerd,ttf-font-nerd
otf-firamono-nerd,ttf-font-nerd
otf-geist-mono-nerd,ttf-font-nerd
otf-hasklig-nerd,ttf-font-nerd
otf-hermit-nerd,ttf-font-nerd
otf-junicode,junicode-font
otf-libertinus,libertinus-font
otf-monaspace,monaspace-font
otf-monaspace-nerd,ttf-font-nerd
otf-opendyslexic-nerd,ttf-font-nerd
otf-overpass-nerd,ttf-font-nerd
pahole,libdwarves.so
pahole,libdwarves_emit.so
pahole,libdwarves_reorganize.so
pam_wrapper,libpam_wrapper.so
pam_wrapper,libpamtest.so
pandoc-cli,pandoc
pango,libpango-1.0.so
pango,libpangocairo-1.0.so
pango,libpangoft2-1.0.so
pango,libpangoxft-1.0.so
pangomm,libpangomm-1.4.so
pangomm-2.48,libpangomm-2.48.so
pass,passmenu
passim,libpassim.so
pcsclite,libpcsclite.so
pcsclite,libpcsclite_real.so
pcsclite,libpcscspy.so
pd,puredata
pd,libpd.so
pdal,pdal
percona-server,mysql
percona-server,mariadb
percona-server-clients,mysql-clients
percona-server-clients,mariadb-clients
perl-class-accessor,perl-class-accessor-fast
perl-class-accessor,perl-class-accessor-faster
perl-crypt-passwdmd5,perl-passwd-md5
perl-datetime,perl-datetime
perl-datetime-format-builder,perl-datetime-format-builder
perl-device-gsm,perl-device-gsm-charset
perl-device-gsm,perl-device-gsm-networks
perl-device-gsm,perl-device-gsm-pdu
perl-device-gsm,perl-sms-token
perl-device-gsm,perl-sms-token-da
perl-device-gsm,perl-sms-token-dcs
perl-device-gsm,perl-sms-token-mr
perl-device-gsm,perl-sms-token-oa
perl-device-gsm,perl-sms-token-pdutype
perl-device-gsm,perl-sms-token-pid
perl-device-gsm,perl-sms-token-sca
perl-device-gsm,perl-sms-token-scts
perl-device-gsm,perl-sms-token-ud
perl-device-gsm,perl-sms-token-vp
perl-device-modem,perl-device-modem-log-file
perl-device-modem,perl-device-modem-log-syslog
perl-device-modem,perl-device-modem-usrobotics
perl-email-mime,perl-email-mime-creator
perl-email-mime,perl-email-mime-modifier
perl-email-simple,perl-email-simple-creator
perl-html-formatter,perl-html-formattext
perl-image-exiftool,perl-exiftool
perl-image-sane,perl-sane
perl-mime-tools,perl-mime-body
perl-mime-tools,perl-mime-decoder
perl-mime-tools,perl-mime-decoder-base64
perl-mime-tools,perl-mime-decoder-binary
perl-mime-tools,perl-mime-decoder-binhex
perl-mime-tools,perl-mime-decoder-gzip64
perl-mime-tools,perl-mime-decoder-nbit
perl-mime-tools,perl-mime-decoder-quotedprint
perl-mime-tools,perl-mime-decoder-uu
perl-mime-tools,perl-mime-entity
perl-mime-tools,perl-mime-field-contdisp
perl-mime-tools,perl-mime-field-contraenc
perl-mime-tools,perl-mime-field-conttype
perl-mime-tools,perl-mime-field-paramval
perl-mime-tools,perl-mime-head
perl-mime-tools,perl-mime-parser
perl-mime-tools,perl-mime-parser-filer
perl-mime-tools,perl-mime-parser-reader
perl-mime-tools,perl-mime-parser-results
perl-mime-tools,perl-mime-worddecoder
perl-mime-tools,perl-mime-words
perl-net-ssleay,net-ssleay
perl-parse-recdescent,perl-parse-recdescent
perl-proc-processtable,perl-proc-killall
perl-proc-processtable,perl-proc-killfam
perl-proc-processtable,perl-proc-processtable-process
perl-timedate,timedate
perl-unicode-stringprep,perl-unicode-stringprep-bidi
perl-unicode-stringprep,perl-unicode-stringprep-mapping
perl-unicode-stringprep,perl-unicode-stringprep-prohibited
perl-unicode-stringprep,perl-unicode-stringprep-unassigned
perl-xml-libxml,perl-libxml
perl-xml-libxml,perl-xml-libxml-common
phonon-qt5-gstreamer,phonon-qt5-backend
phonon-qt5-vlc,phonon-qt5-backend
phonon-qt6-vlc,phonon-qt6-backend
php,php-interpreter
php,php-intl
php-apache,php-apache-interpreter
php-cgi,php-cgi-interpreter
php-dblib,php-dblib-interpreter
php-embed,php-embed-interpreter
php-enchant,php-enchant-interpreter
php-fpm,php-fpm-interpreter
php-gd,php-gd-interpreter
php-legacy,php-interpreter
php-legacy,php-legacy-intl
php-legacy-apache,php-apache-interpreter
php-legacy-cgi,php-cgi-interpreter
php-legacy-dblib,php-dblib-interpreter
php-legacy-embed,php-embed-interpreter
php-legacy-enchant,php-enchant-interpreter
php-legacy-fpm,php-fpm-interpreter
php-legacy-gd,php-gd-interpreter
php-legacy-odbc,php-odbc-interpreter
php-legacy-pgsql,php-pgsql-interpreter
php-legacy-phpdbg,php-phpdbg-interpreter
php-legacy-pspell,php-pspell-interpreter
php-legacy-snmp,php-snmp-interpreter
php-legacy-sodium,php-sodium-interpreter
php-legacy-sqlite,php-sqlite-interpreter
php-legacy-tidy,php-tidy-interpreter
php-legacy-xsl,php-xsl-interpreter
php-odbc,php-odbc-interpreter
php-pgsql,php-pgsql-interpreter
php-phpdbg,php-phpdbg-interpreter
php-pspell,php-pspell-interpreter
php-snmp,php-snmp-interpreter
php-sodium,php-sodium-interpreter
php-sqlite,php-sqlite-interpreter
php-tidy,php-tidy-interpreter
php-xsl,php-xsl-interpreter
pifpaf,python-pifpaf
pinentry-bemenu,pinentry
pipewire-jack,jack
pipewire-jack,libjack.so
pipewire-jack,libjacknet.so
pipewire-jack,libjackserver.so
pipewire-media-session,pipewire-session-manager
pipewire-pulse,pulse-native-provider
pixman,libpixman-1.so
pkcs11-helper,libpkcs11-helper.so
plan9port,plan9
plocate,mlocate
plocate,locate
pnetcdf-openmpi,parallel-netcdf
pnetcdf-openmpi,parallel-netcdf-openmpi
podman-docker,docker
podofo,libpodofo.so
polkit,libpolkit-agent-1.so
polkit,libpolkit-gobject-1.so
poppler,libpoppler.so
poppler,libpoppler-cpp.so
poppler-glib,libpoppler-glib.so
poppler-qt5,libpoppler-qt5.so
poppler-qt6,libpoppler-qt6.so
portaudio,libportaudio.so
portaudio,libportaudiocpp.so
portmidi,libportmidi.so
portsmf,libportSMF.so
postfix,smtp-server
postfix,smtp-forwarder
postgresql-libs,libecpg.so
postgresql-libs,libecpg_compat.so
postgresql-libs,libpgtypes.so
postgresql-libs,libpq.so
postgresql-libs,postgresql-client
powerdns,pdns
powerdns-recursor,pdns-recursor
powerline,python-powerline
powerline,powerline-common
powerline-fonts,otf-powerline-symbols
pre-commit,python-pre-commit
prjtrellis,libtrellis
procinfo-ng,procinfo
profanity-gtk,profanity
protobuf,libprotoc.so
protobuf,libprotobuf.so
protobuf,libprotobuf-lite.so
protobuf-c,libprotobuf-c.so
proxychains-ng,proxychains
prrte,libprrte.so
psi-nowebengine,psi
pulseaudio,pulse-native-provider
puppet,puppet
pyside6,qt6-python-bindings
python-absl,absl-py
python-argon2-cffi,python-argon2_cffi
python-configshell-fb,python-configshell
python-cpplint,cpplint
python-cpplint,cpplint-py3
python-curio,python-multio-provider
python-dbus,dbus-python
python-dbus,python-dbus-common
python-django-q2,python-django-q
python-docker,python-docker-py
python-faust-cchardet,python-cchardet
python-flask-security-too,python-flask-security
python-flufl.bounce,python-flufl-bounce
python-flufl.i18n,python-flufl-i18n
python-future,futurize
python-future,pasteurize
python-gobject,pygobject-devel
python-h5py-openmpi,python-h5py
python-hcloud,hcloud-python
python-html2text,html2text
python-imaplib2,python-imaplib2
python-importlib_resources,python-importlib-resources
python-itanium-demangler,python-itanium_demangler
python-jupyter-client,python-jupyter_client
python-jupyter-core,python-jupyter_core
python-jupyter-packaging,python-jupyter_packaging
python-jupyterlab-server,python-jupyterlab_server
python-keras,python-keras-preprocessing
python-lark-parser,python-lark
python-lazr.config,python-lazr-config
python-nbdime,jupyterlab-extension-nbdime
python-nbdime,jupyter-nbdime
python-nest-asyncio,python-nest_asyncio
python-netcdf4-openmpi,python-netcdf4
python-nethsm-sdk-py,python-nethsm
python-onnxruntime-opt,python-onnxruntime
python-onnxruntime-opt-rocm,python-onnxruntime
python-onnxruntime-rocm,python-onnxruntime
python-opencv-cuda,python-opencv
python-osmium,python-pyosmium
python-osmium,pyosmium
python-path,python-path.py
python-perf,python-pyperf
python-pillow-heif,python-pillow_heif
python-poetry,poetry
python-pt,gdb-pt-dump
python-pyasn1,pyasn1
python-pyasynchat,python-asynchat
python-pyasyncore,python-asyncore
python-pycryptodome,python-crypto
python-pycuda,pycuda-headers
python-pycups,pycups
python-pygments,pygmentize
python-pylint-plugin-utils,python-pylint-plugin-utils
python-pylint-pydantic,python-pylint-pydantic
python-pymdown-extensions,pymdown-extensions
python-pynvim,python-neovim
python-pyqt5,qt5-python-bindings
python-pyqt5-webengine,python-pyqtwebengine
python-pyqt6,qt6-python-bindings
python-pysocks,python-socks
python-python-socks,python-python_socks
python-pytorch-cuda,python-pytorch
python-pytorch-opt,python-pytorch
python-pytorch-opt-cuda,python-pytorch
python-pytorch-opt-cuda,python-pytorch-cuda
python-pytorch-opt-rocm,python-pytorch
python-pytorch-opt-rocm,python-pytorch-rocm
python-pytorch-rocm,python-pytorch
python-pywlroots,pywlroots
python-pyxdg,python-xdg
python-saml,python-python3-saml
python-scipy,scipy
python-setuptools,python-distribute
python-sgmllib3k,python-sgmllib
python-sphinxcontrib-jquery,python-sphinxcontrib.jquery
python-sqlalchemy1.4,python-sqlalchemy
python-stem,stem
python-tensorboard_plugin_wit,tensorboard_plugin_wit
python-tensorflow-cuda,python-tensorflow
python-tensorflow-opt,python-tensorflow
python-tensorflow-opt-cuda,python-tensorflow
python-tensorflow-opt-cuda,python-tensorflow-cuda
python-tensorflow-serving-api-gpu,python-tensorflow-serving-api
python-torchvision-cuda,python-torchvision
python-trio,python-multio-provider
python-update-checker,python-update_checker
python-witwidget,witwidget
python-witwidget,witwidget-gpu
python-yaml,python-pyyaml
python-zipstream-ng,python-zipstream
qca-qt5,qca
qcoro,qcoro-qt6
qcustomplot,libqcustomplot.so
qemu-base,qemu
qemu-desktop,qemu
qemu-full,qemu
qemu-user-binfmt,qemu-user-binfmt-provider
qemu-user-static-binfmt,qemu-user-binfmt-provider
qhexedit2,libqhexedit.so
qstardict,stardict
qt6-multimedia-ffmpeg,qt6-multimedia-backend
qt6-multimedia-gstreamer,qt6-multimedia-backend
qtkeychain-qt5,qtkeychain
qtqr,python-qrtools
qtractor,clap-host
qtractor,dssi-host
qtractor,ladspa-host
qtractor,lv2-host
qtractor,vst-host
qtractor,vst3-host
quazip-qt5,quazip
qwt,qwtpolar
r,r-kernsmooth
r,r-mass
r,r-matrix
r,r-base
r,r-boot
r,r-class
r,r-cluster
r,r-codetools
r,r-compiler
r,r-datasets
r,r-foreign
r,r-grdevices
r,r-graphics
r,r-grid
r,r-lattice
r,r-methods
r,r-mgcv
r,r-nlme
r,r-nnet
r,r-parallel
r,r-rpart
r,r-spatial
r,r-splines
r,r-stats
r,r-stats4
r,r-survival
r,r-tcltk
r,r-tools
r,r-translations
r,r-utils
r2ghidra,radare2-r2ghidra
racket-minimal,racket
rage-encryption,rust-rage
rapidcheck,librapidcheck.so
raptor,libraptor2.so
rasqal,librasqal.so
rav1e,librav1e.so
rdma-core,ibacm
rdma-core,infiniband-diags
rdma-core,libcxgb3
rdma-core,libcxgb4
rdma-core,libibcm
rdma-core,libibmad
rdma-core,libibumad
rdma-core,libibverbs
rdma-core,libiwpm
rdma-core,libmlx4
rdma-core,libmlx5
rdma-core,libmthca
rdma-core,libnes
rdma-core,libocrdma
rdma-core,librdmacm
rdma-core,rdma
rdma-core,srptools
re2,libre2.so
reaper,clap-host
reaper,lv2-host
reaper,vst-host
reaper,vst3-host
redo-python,redo
redo-sh,redo
referenceassemblies-pcl,mono-pcl
remmina,remmina-plugins
rhonabwy,librhonabwy.so
roc-toolkit,libroc.so
rocm-opencl-runtime,opencl-driver
rofi-wayland,rofi
root-cuda,root
ropper,python-ropper
rosegarden,dssi-host
rosegarden,ladspa-host
rosenpass,rp
rosenpass,rosenpass
rpm-tools,rpm
rpm-tools,rpmextract
rpm-tools,rpm-org
rssguard-lite,rssguard
rtaudio,librtaudio.so
rtmidi,librtmidi.so
rtmpdump,librtmp.so
rtosc,librtosc.so
rtosc,librtosc-cpp.so
rubberband,librubberband.so
rubberband,librubberband-jni.so
rubocop,ruby-rubocop
ruby,libruby.so
ruby,ruby-abbrev
ruby,ruby-base64
ruby,ruby-benchmark
ruby,ruby-bigdecimal
ruby,ruby-cgi
ruby,ruby-csv
ruby,ruby-date
ruby,ruby-delegate
ruby,ruby-did_you_mean
ruby,ruby-digest
ruby,ruby-drb
ruby,ruby-english
ruby,ruby-error_highlight
ruby,ruby-etc
ruby,ruby-fcntl
ruby,ruby-fiddle
ruby,ruby-fileutils
ruby,ruby-find
ruby,ruby-forwardable
ruby,ruby-getoptlong
ruby,ruby-io-console
ruby,ruby-io-nonblock
ruby,ruby-io-wait
ruby,ruby-ipaddr
ruby,ruby-json
ruby,ruby-logger
ruby,ruby-mutex_m
ruby,ruby-net-http
ruby,ruby-net-protocol
ruby,ruby-nkf
ruby,ruby-observer
ruby,ruby-open-uri
ruby,ruby-open3
ruby,ruby-openssl
ruby,ruby-optparse
ruby,ruby-ostruct
ruby,ruby-pathname
ruby,ruby-pp
ruby,ruby-prettyprint
ruby,ruby-pstore
ruby,ruby-psych
ruby,ruby-readline
ruby,ruby-readline-ext
ruby,ruby-reline
ruby,ruby-resolv
ruby,ruby-resolv-replace
ruby,ruby-rinda
ruby,ruby-ruby2_keywords
ruby,ruby-securerandom
ruby,ruby-set
ruby,ruby-shellwords
ruby,ruby-singleton
ruby,ruby-stringio
ruby,ruby-strscan
ruby,ruby-syntax_suggest
ruby,ruby-syslog
ruby,ruby-tempfile
ruby,ruby-time
ruby,ruby-timeout
ruby,ruby-tmpdir
ruby,ruby-tsort
ruby,ruby-un
ruby,ruby-uri
ruby,ruby-weakref
ruby,ruby-yaml
ruby,ruby-zlib
ruby-pkg-config,ruby-pkgconfig
ruby-rake,rake
ruby-ronn-ng,ruby-ronn
rubygems,ruby-rubygems
runc,oci-runtime
rust,cargo
rust,rustfmt
rustup,rust
rustup,cargo
rustup,rust-nightly
rustup,cargo-nightly
rustup,rustfmt
rustup,rust-src
rustup,lib32-rust-libs
rustup,rust-musl
rustup,rust-wasm
rustup,rust-analyzer
rustypaste-cli,rpaste
rygel,librygel-core-2.8.so
rygel,librygel-db-2.8.so
rygel,librygel-renderer-2.8.so
rygel,librygel-renderer-gst-2.8.so
rygel,librygel-ruih-2.8.so
rygel,librygel-server-2.8.so
s2n-tls,s2n
s3fs-fuse,s3fs
sane,libsane.so
sbc,libsbc.so
sbcl,common-lisp
sbcl,cl-asdf
schroot,schroot
schroot,sbuild
schroot,dchroot
sdbus-cpp,libsdbus-c++.so
sdcv,stardict
sddm,display-manager
sdl12-compat,sdl
sdl_image,libSDL_image-1.2.so
seahorse,x11-ssh-askpass
seatd,libseat.so
secrets,gnome-passwordsafe
sentry-native,libsentry.so
serd,libserd-0.so
sfizz-lib,libsfizz.so
sfml,libsfml-window.so
sfml,libsfml-network.so
sfml,libsfml-system.so
sfml,libsfml-audio.so
sfml,libsfml-graphics.so
shaderc,libshaderc_shared.so
sile,libtexpdf.so
simutrans-pak128,simutrans-pak64
singular,singular-factory
skia-sharp,libSkiaSharp.so
sleuthkit,libtsk.so
smlnj,sml
snappy,libsnappy.so
sndio,libsndio.so
sonic-visualiser,vamp-host
sonivox,libsonivox.so
sord,libsord-0.so
sox,libsox.so
spdlog,libspdlog.so
speex,libspeex.so
speexdsp,libspeexdsp.so
spice,libspice-server.so
spice-gtk,spice-glib
spice-gtk,spice-gtk3
spire-agent,spire-agent
spire-server,spire-server
sratom,libsratom-0.so
srslte,srsue
srslte,srsenb
srslte,srsepc
srslte-avx2,srslte
stk,libstk-5.0.0.so
stoken,libstoken.so
subversion,svn
suil,libsuil-0.so
sunpinyin-data,sunpinyin-data-le
supercollider,libscsynth.so
supercollider,sclang
supercollider,scsynth
svgo,nodejs-svgo
sway,wayland-compositor
switchboard,libswitchboard-3.so
system76-firmware,system76-firmware-daemon
systray-x-common,systray-x
systray-x-kde,systray-x
taplo-cli,taplo
tcplay,libtcplay.so
tdb,libtdb.so
tealdeer,tldr
teensy_loader_cli,teensy-loader-cli
tela-circle-icon-theme-all,tela-circle-icon-theme
tela-circle-icon-theme-black,tela-circle-icon-theme
tela-circle-icon-theme-blue,tela-circle-icon-theme
tela-circle-icon-theme-brown,tela-circle-icon-theme
tela-circle-icon-theme-dracula,tela-circle-icon-theme
tela-circle-icon-theme-green,tela-circle-icon-theme
tela-circle-icon-theme-grey,tela-circle-icon-theme
tela-circle-icon-theme-manjaro,tela-circle-icon-theme
tela-circle-icon-theme-nord,tela-circle-icon-theme
tela-circle-icon-theme-orange,tela-circle-icon-theme
tela-circle-icon-theme-pink,tela-circle-icon-theme
tela-circle-icon-theme-purple,tela-circle-icon-theme
tela-circle-icon-theme-red,tela-circle-icon-theme
tela-circle-icon-theme-standard,tela-circle-icon-theme
tela-circle-icon-theme-ubuntu,tela-circle-icon-theme
tela-circle-icon-theme-yellow,tela-circle-icon-theme
template-glib,libtemplate_glib-1.0.so
tensorflow-cuda,tensorflow
tensorflow-opt,tensorflow
tensorflow-opt-cuda,tensorflow
tensorflow-opt-cuda,tensorflow-cuda
tesseract,libtesseract.so
tesseract-data-afr,tessdata
tesseract-data-amh,tessdata
tesseract-data-ara,tessdata
tesseract-data-asm,tessdata
tesseract-data-aze,tessdata
tesseract-data-aze_cyrl,tessdata
tesseract-data-bel,tessdata
tesseract-data-ben,tessdata
tesseract-data-bod,tessdata
tesseract-data-bos,tessdata
tesseract-data-bre,tessdata
tesseract-data-bul,tessdata
tesseract-data-cat,tessdata
tesseract-data-ceb,tessdata
tesseract-data-ces,tessdata
tesseract-data-chi_sim,tessdata
tesseract-data-chi_sim_vert,tessdata
tesseract-data-chi_tra,tessdata
tesseract-data-chi_tra_vert,tessdata
tesseract-data-chr,tessdata
tesseract-data-cos,tessdata
tesseract-data-cym,tessdata
tesseract-data-dan,tessdata
tesseract-data-dan_frak,tessdata
tesseract-data-deu,tessdata
tesseract-data-deu_frak,tessdata
tesseract-data-div,tessdata
tesseract-data-dzo,tessdata
tesseract-data-ell,tessdata
tesseract-data-eng,tessdata
tesseract-data-enm,tessdata
tesseract-data-epo,tessdata
tesseract-data-equ,tessdata
tesseract-data-est,tessdata
tesseract-data-eus,tessdata
tesseract-data-fao,tessdata
tesseract-data-fas,tessdata
tesseract-data-fil,tessdata
tesseract-data-fin,tessdata
tesseract-data-fra,tessdata
tesseract-data-frk,tessdata
tesseract-data-frm,tessdata
tesseract-data-fry,tessdata
tesseract-data-gla,tessdata
tesseract-data-gle,tessdata
tesseract-data-glg,tessdata
tesseract-data-grc,tessdata
tesseract-data-guj,tessdata
tesseract-data-hat,tessdata
tesseract-data-heb,tessdata
tesseract-data-hin,tessdata
tesseract-data-hrv,tessdata
tesseract-data-hun,tessdata
tesseract-data-hye,tessdata
tesseract-data-iku,tessdata
tesseract-data-ind,tessdata
tesseract-data-isl,tessdata
tesseract-data-ita,tessdata
tesseract-data-ita_old,tessdata
tesseract-data-jav,tessdata
tesseract-data-jpn,tessdata
tesseract-data-jpn_vert,tessdata
tesseract-data-kan,tessdata
tesseract-data-kat,tessdata
tesseract-data-kat_old,tessdata
tesseract-data-kaz,tessdata
tesseract-data-khm,tessdata
tesseract-data-kir,tessdata
tesseract-data-kmr,tessdata
tesseract-data-kor,tessdata
tesseract-data-kor_vert,tessdata
tesseract-data-lao,tessdata
tesseract-data-lat,tessdata
tesseract-data-lav,tessdata
tesseract-data-lit,tessdata
tesseract-data-ltz,tessdata
tesseract-data-mal,tessdata
tesseract-data-mar,tessdata
tesseract-data-mkd,tessdata
tesseract-data-mlt,tessdata
tesseract-data-mon,tessdata
tesseract-data-mri,tessdata
tesseract-data-msa,tessdata
tesseract-data-mya,tessdata
tesseract-data-nep,tessdata
tesseract-data-nld,tessdata
tesseract-data-nor,tessdata
tesseract-data-oci,tessdata
tesseract-data-ori,tessdata
tesseract-data-pan,tessdata
tesseract-data-pol,tessdata
tesseract-data-por,tessdata
tesseract-data-pus,tessdata
tesseract-data-que,tessdata
tesseract-data-ron,tessdata
tesseract-data-rus,tessdata
tesseract-data-san,tessdata
tesseract-data-sin,tessdata
tesseract-data-slk,tessdata
tesseract-data-slk_frak,tessdata
tesseract-data-slv,tessdata
tesseract-data-snd,tessdata
tesseract-data-spa,tessdata
tesseract-data-spa_old,tessdata
tesseract-data-sqi,tessdata
tesseract-data-srp,tessdata
tesseract-data-srp_latn,tessdata
tesseract-data-sun,tessdata
tesseract-data-swa,tessdata
tesseract-data-swe,tessdata
tesseract-data-syr,tessdata
tesseract-data-tam,tessdata
tesseract-data-tat,tessdata
tesseract-data-tel,tessdata
tesseract-data-tgk,tessdata
tesseract-data-tgl,tessdata
tesseract-data-tha,tessdata
tesseract-data-tir,tessdata
tesseract-data-ton,tessdata
tesseract-data-tur,tessdata
tesseract-data-uig,tessdata
tesseract-data-ukr,tessdata
tesseract-data-urd,tessdata
tesseract-data-uzb,tessdata
tesseract-data-uzb_cyrl,tessdata
tesseract-data-vie,tessdata
tesseract-data-yid,tessdata
tesseract-data-yor,tessdata
tevent,libtevent.so
texlive-basic,texlive-core
texlive-basic,texlive-amsfonts
texlive-basic,texlive-bibtex
texlive-basic,texlive-cm
texlive-basic,texlive-colorprofiles
texlive-basic,texlive-dvipdfmx
texlive-basic,texlive-dvips
texlive-basic,texlive-ec
texlive-basic,texlive-enctex
texlive-basic,texlive-etex
texlive-basic,texlive-etex-pkg
texlive-basic,texlive-glyphlist
texlive-basic,texlive-graphics-def
texlive-basic,texlive-hyph-utf8
texlive-basic,texlive-hyphen-base
texlive-basic,texlive-hyphenex
texlive-basic,texlive-ifplatform
texlive-basic,texlive-iftex
texlive-basic,texlive-knuth-lib
texlive-basic,texlive-knuth-local
texlive-basic,texlive-kpathsea
texlive-basic,texlive-lua-alt-getopt
texlive-basic,texlive-luahbtex
texlive-basic,texlive-makeindex
texlive-basic,texlive-metafont
texlive-basic,texlive-mflogo
texlive-basic,texlive-mfware
texlive-basic,texlive-modes
texlive-basic,texlive-pdftex
texlive-basic,texlive-plain
texlive-basic,texlive-tex
texlive-basic,texlive-tex-ini-files
texlive-basic,texlive-texlive-common
texlive-basic,texlive-texlive-en
texlive-basic,texlive-texlive-msg-translations
texlive-basic,texlive-texlive-scripts
texlive-basic,texlive-texlive.infra
texlive-basic,texlive-tlshell
texlive-basic,texlive-unicode-data
texlive-basic,texlive-xdvi
texlive-bibtexextra,texlive-aaai-named
texlive-bibtexextra,texlive-aichej
texlive-bibtexextra,texlive-ajl
texlive-bibtexextra,texlive-amsrefs
texlive-bibtexextra,texlive-annotate
texlive-bibtexextra,texlive-apacite
texlive-bibtexextra,texlive-apalike-ejor
texlive-bibtexextra,texlive-apalike2
texlive-bibtexextra,texlive-archaeologie
texlive-bibtexextra,texlive-authordate
texlive-bibtexextra,texlive-beebe
texlive-bibtexextra,texlive-besjournals
texlive-bibtexextra,texlive-bestpapers
texlive-bibtexextra,texlive-bib2gls
texlive-bibtexextra,texlive-bibarts
texlive-bibtexextra,texlive-bibcop
texlive-bibtexextra,texlive-biber
texlive-bibtexextra,texlive-biber-ms
texlive-bibtexextra,texlive-bibexport
texlive-bibtexextra,texlive-bibhtml
texlive-bibtexextra,texlive-biblatex
texlive-bibtexextra,texlive-biblatex-abnt
texlive-bibtexextra,texlive-biblatex-ajc2020unofficial
texlive-bibtexextra,texlive-biblatex-anonymous
texlive-bibtexextra,texlive-biblatex-apa
texlive-bibtexextra,texlive-biblatex-apa6
texlive-bibtexextra,texlive-biblatex-archaeology
texlive-bibtexextra,texlive-biblatex-arthistory-bonn
texlive-bibtexextra,texlive-biblatex-bath
texlive-bibtexextra,texlive-biblatex-bookinarticle
texlive-bibtexextra,texlive-biblatex-bookinother
texlive-bibtexextra,texlive-biblatex-bwl
texlive-bibtexextra,texlive-biblatex-caspervector
texlive-bibtexextra,texlive-biblatex-chem
texlive-bibtexextra,texlive-biblatex-chicago
texlive-bibtexextra,texlive-biblatex-claves
texlive-bibtexextra,texlive-biblatex-cv
texlive-bibtexextra,texlive-biblatex-dw
texlive-bibtexextra,texlive-biblatex-enc
texlive-bibtexextra,texlive-biblatex-ext
texlive-bibtexextra,texlive-biblatex-fiwi
texlive-bibtexextra,texlive-biblatex-gb7714-2015
texlive-bibtexextra,texlive-biblatex-german-legal
texlive-bibtexextra,texlive-biblatex-gost
texlive-bibtexextra,texlive-biblatex-historian
texlive-bibtexextra,texlive-biblatex-ieee
texlive-bibtexextra,texlive-biblatex-ijsra
texlive-bibtexextra,texlive-biblatex-iso690
texlive-bibtexextra,texlive-biblatex-jura2
texlive-bibtexextra,texlive-biblatex-juradiss
texlive-bibtexextra,texlive-biblatex-license
texlive-bibtexextra,texlive-biblatex-lncs
texlive-bibtexextra,texlive-biblatex-lni
texlive-bibtexextra,texlive-biblatex-luh-ipw
texlive-bibtexextra,texlive-biblatex-manuscripts-philology
texlive-bibtexextra,texlive-biblatex-mla
texlive-bibtexextra,texlive-biblatex-morenames
texlive-bibtexextra,texlive-biblatex-ms
texlive-bibtexextra,texlive-biblatex-multiple-dm
texlive-bibtexextra,texlive-biblatex-musuos
texlive-bibtexextra,texlive-biblatex-nature
texlive-bibtexextra,texlive-biblatex-nejm
texlive-bibtexextra,texlive-biblatex-nottsclassic
texlive-bibtexextra,texlive-biblatex-opcit-booktitle
texlive-bibtexextra,texlive-biblatex-oxref
texlive-bibtexextra,texlive-biblatex-philosophy
texlive-bibtexextra,texlive-biblatex-phys
texlive-bibtexextra,texlive-biblatex-publist
texlive-bibtexextra,texlive-biblatex-readbbl
texlive-bibtexextra,texlive-biblatex-realauthor
texlive-bibtexextra,texlive-biblatex-sbl
texlive-bibtexextra,texlive-biblatex-science
texlive-bibtexextra,texlive-biblatex-shortfields
texlive-bibtexextra,texlive-biblatex-socialscienceshuberlin
