pkg,provides
perl,perl-lib
perl,perl-libnet
perl,perl-locale-maketext-simple
perl,perl-locale-maketext
perl,perl-math-bigint-fastcalc
perl,perl-math-bigint
perl,perl-math-complex
perl,perl-memoize
perl,perl-mime-base64
perl,perl-module-corelist
perl,perl-module-load-conditional
perl,perl-module-load
perl,perl-module-loaded
perl,perl-module-metadata
perl,perl-net-ping
perl,perl-params-check
perl,perl-parent
perl,perl-pathtools
perl,perl-perl-ostype
perl,perl-perlfaq
perl,perl-perlio-via-quotedprint
perl,perl-pod-checker
perl,perl-pod-escapes
perl,perl-pod-perldoc
perl,perl-pod-simple
perl,perl-pod-usage
perl,perl-podlators
perl,perl-safe
perl,perl-scalar-list-utils
perl,perl-search-dict
perl,perl-selfloader
perl,perl-socket
perl,perl-storable
perl,perl-sys-syslog
perl,perl-term-ansicolor
perl,perl-term-cap
perl,perl-term-complete
perl,perl-term-readline
perl,perl-term-table
perl,perl-test-harness
perl,perl-test-simple
perl,perl-test2-suite
perl,perl-test
perl,perl-text-abbrev
perl,perl-text-balanced
perl,perl-text-parsewords
perl,perl-text-tabs
perl,perl-thread-queue
perl,perl-thread-semaphore
perl,perl-threads-shared
perl,perl-threads
perl,perl-tie-file
perl,perl-tie-refhash
perl,perl-time-hires
perl,perl-time-local
perl,perl-time-piece
perl,perl-unicode-collate
perl,perl-unicode-normalize
perl,perl-version
perl,perl-xsloader
pkgconf,libpkgconf.so
pkgconf,pkg-config
pkgconf,pkgconfig
procps-ng,procps
procps-ng,sysvinit-tools
procps-ng,libproc2.so
python,python3
python,python-externally-managed
python-capng,python-libcap-ng
readline,libhistory.so
readline,libreadline.so
s-nail,mailx
s-nail,mailx-heirloom
s-nail,heirloom-mailx
sqlite,sqlite3
sqlite,libsqlite3.so
sqlite-doc,sqlite3-doc
sqlite-tcl,sqlite3-tcl
systemd,nss-myhostname
systemd,systemd-tools
systemd,udev
systemd-libs,libsystemd
systemd-libs,libsystemd.so
systemd-libs,libudev.so
systemd-resolvconf,openresolv
systemd-resolvconf,resolvconf
systemd-ukify,ukify
tpm2-tss,libtss2-esys.so
tpm2-tss,libtss2-fapi.so
tpm2-tss,libtss2-mu.so
tpm2-tss,libtss2-rc.so
tpm2-tss,libtss2-sys.so
tpm2-tss,libtss2-tctildr.so
util-linux,rfkill
util-linux,hardlink
util-linux-libs,libutil-linux
util-linux-libs,libblkid.so
util-linux-libs,libfdisk.so
util-linux-libs,libmount.so
util-linux-libs,libsmartcols.so
util-linux-libs,libuuid.so
wireless-regdb,crda
xz,liblzma.so
zlib,libz.so
zstd,libzstd.so
389-ds-base,libsvrcore.so
9base,plan9
accountsservice,libaccountsservice.so
acpi_call-dkms,acpi_call
acpi_call-lts,acpi_call
acpica,iasl
acpilight,xorg-xbacklight
adobe-source-sans-fonts,adobe-source-sans-pro-fonts
adobe-source-serif-fonts,adobe-source-serif-pro-fonts
afl++,afl
aircrack-ng,aircrack-ng-scripts
alsa-lib,libasound.so
alsa-lib,libatopology.so
alsa-oss,libaoss.so
alsa-oss,libalsatoss.so
alsa-tools,alsa-tools-emu10k1
alsa-tools,alsa-tools-ice1712
alsa-tools,liblo10k1.so
amdvlk,vulkan-driver
aml,libaml.so
amule,amule-daemon
ansible,python-ansible_collections
ansible-core,python-ansible
ansible-core,ansible-base
ant,apache-ant
antlr4,antlr
antlr4-runtime,libantlr4-runtime.so
aom,libaom.so
apache,mod_proxy_uwsgi
apparmor,libapparmor.so
appstream-glib,appdata-tools
appstream-glib,libappstream-glib.so
aquamarine,libaquamarine.so
archinstall,python-archinstall
ardour,ladspa-host
ardour,lv2-host
ardour,vamp-host
ardour,vst-host
ardour,vst3-host
argocd,argocd-cli
aribb25,libaribb25.so
arpack,arpack-ng
arrow,parquet-cpp
aspell,libaspell.so
aspell,libpspell.so
aspnet-runtime,aspnet-runtime-8.0
aspnet-targeting-pack,aspnet-targeting-pack-8.0
at-spi2-core,at-spi2-atk
at-spi2-core,atk
at-spi2-core,libatk-1.0.so
at-spi2-core,libatk-bridge-2.0.so
at-spi2-core,libatspi.so
atkmm,libatkmm-1.6.so
atkmm-2.36,libatkmm-2.36.so
aubio,libaubio.so
audacity,ladspa-host
audacity,lv2-host
audacity,vamp-host
audacity,vst-host
audacity,vst3-host
audiofile,libaudiofile.so
authoscope,badtouch
avahi,libavahi-client.so
avahi,libavahi-common.so
avahi,libavahi-core.so
avahi,libavahi-glib.so
avahi,libavahi-gobject.so
avahi,libavahi-libevent.so
avahi,libavahi-qt5.so
avahi,libavahi-ui-gtk3.so
avahi,libdns_sd.so
avisynthplus,libavisynth.so
awesome,notification-daemon
babel-cli,nodejs-babel-cli
baidupcs-go,baidupcs
bats,bats-core
bbswitch-dkms,bbswitch
bcc,bcc
bcc,libbcc
beanshell,bsh
bemenu,libbemenu.so
bemenu-ncurses,bemenu-renderer
bemenu-wayland,bemenu-renderer
bemenu-x11,bemenu-renderer
bespokesynth,vst3-host
biblesync,libbiblesync.so
bind,bind-tools
bind,dnsutils
bind,dns-server
bitcoin-daemon,bitcoin-cli
blas-openblas,blas
blas-openblas,cblas
blas-openblas,lapack
blas-openblas,lapacke
blas-openblas,openblas-lapack
blas64-openblas,blas64
blas64-openblas,cblas64
blas64-openblas,lapack64
blas64-openblas,lapacke64
bluez-libs,libbluetooth.so
bluez-utils,bluez-plugins
bogofilter-db,bogofilter
bogofilter-kyotocabinet,bogofilter
bogofilter-lmdb,bogofilter
bogofilter-sqlite,bogofilter
boinc-nox,boinc
boost-libs,libboost_atomic.so
boost-libs,libboost_charconv.so
boost-libs,libboost_chrono.so
boost-libs,libboost_cobalt.so
boost-libs,libboost_container.so
boost-libs,libboost_context.so
boost-libs,libboost_contract.so
boost-libs,libboost_coroutine.so
boost-libs,libboost_date_time.so
boost-libs,libboost_fiber.so
boost-libs,libboost_filesystem.so
boost-libs,libboost_graph.so
boost-libs,libboost_graph_parallel.so
boost-libs,libboost_iostreams.so
boost-libs,libboost_json.so
boost-libs,libboost_locale.so
boost-libs,libboost_log.so
boost-libs,libboost_log_setup.so
boost-libs,libboost_math_c99.so
boost-libs,libboost_math_c99f.so
boost-libs,libboost_math_c99l.so
boost-libs,libboost_math_tr1.so
boost-libs,libboost_math_tr1f.so
boost-libs,libboost_math_tr1l.so
boost-libs,libboost_mpi.so
boost-libs,libboost_mpi_python312.so
boost-libs,libboost_nowide.so
boost-libs,libboost_numpy312.so
boost-libs,libboost_prg_exec_monitor.so
boost-libs,libboost_process.so
boost-libs,libboost_program_options.so
boost-libs,libboost_python312.so
boost-libs,libboost_random.so
boost-libs,libboost_regex.so
boost-libs,libboost_serialization.so
boost-libs,libboost_stacktrace_addr2line.so
boost-libs,libboost_stacktrace_basic.so
boost-libs,libboost_stacktrace_from_exception.so
boost-libs,libboost_stacktrace_noop.so
boost-libs,libboost_system.so
boost-libs,libboost_thread.so
boost-libs,libboost_timer.so
boost-libs,libboost_type_erasure.so
boost-libs,libboost_unit_test_framework.so
boost-libs,libboost_url.so
boost-libs,libboost_wave.so
boost-libs,libboost_wserialization.so
booster,initramfs
borg,borgbackup
breezy,bzr
brltty,libbrlapi.so
btrfs-heatmap,python-btrfs-heatmap
bubblewrap-suid,bubblewrap
bullet-dp,bullet
bzip3,libbzip3.so
c-ares,libcares.so
cage,wayland-compositor
cairo,libcairo-gobject.so
cairo,libcairo-script-interpreter.so
cairo,libcairo.so
cairomm,libcairomm-1.0.so
cairomm-1.16,libcairomm-1.16.so
capnproto,libcapnp.so
capnproto,libcapnp-json.so
capnproto,libcapnp-rpc.so
capnproto,libcapnpc.so
capnproto,libkj-async.so
capnproto,libkj-gzip.so
capnproto,libkj-http.so
capnproto,libkj-test.so
capnproto,libkj-tls.so
capnproto,libkj.so
capstone,libcapstone.so
carla,dssi-host
carla,ladspa-host
carla,lv2-host
carla,vst-host
carla,vst3-host
cdrtools,cdrkit
chafa,libchafa.so
check,libcheck.so
chromaprint,libchromaprint.so
chrono-date,libdate-tz.so
clamav,libclamav.so
clamav,libclamunrar.so
clamav,libclamunrar_iface.so
clang,clang-analyzer
clang,clang-tools-extra
claws-mail,claws
clblast,libclblast.so
clisp,common-lisp
clthreads,libclthreads.so
clutter,libclutter-1.0.so
clxclient,libclxclient.so
cni-plugins,container-network-stack
cockatrice,cockatrice-client
cockatrice,cockatrice-server
cockpit,cockpit-pcp
code,vscode
codec2,freedv
coeurl,libcoeurl.so
coffeescript,coffee-script
cogl,libcogl.so
cogl,libcogl-gles2.so
cogl,libcogl-pango.so
cogl,libcogl-path.so
colord,libcolorhug.so
colord-gtk,libcolord-gtk.so
colord-gtk4,libcolord-gtk4.so
containerd,container-runtime
cpanminus,perl-app-cpanminus
cpp-hocon,libcpp-hocon.so
cri-o,container-runtime
criu,libcompel.so
criu,libcriu.so
cronie,cron
crun,oci-runtime
csound,libcsound64.so
csound,libcsnd6.so
ctags,universal-ctags
cuda,cuda-toolkit
cuda,cuda-sdk
