package,provides
"perl-timedate","timedate"
"perl-unicode-stringprep","perl-unicode-stringprep-bidi=1.105"
"perl-unicode-stringprep","perl-unicode-stringprep-mapping=1.105"
"perl-unicode-stringprep","perl-unicode-stringprep-prohibited=1.105"
"perl-unicode-stringprep","perl-unicode-stringprep-unassigned=1.105"
"perl-xml-libxml","perl-libxml"
"perl-xml-libxml","perl-xml-libxml-common"
"perl","perl-archive-tar=3.02_001"
"perl","perl-attribute-handlers=1.03"
"perl","perl-autodie=2.37"
"perl","perl-autoloader=5.74"
"perl","perl-autouse=1.11"
"perl","perl-base=2.27"
"perl","perl-bignum=0.67"
"perl","perl-carp=1.54"
"perl","perl-compress-raw-bzip2=2.212"
"perl","perl-compress-raw-zlib=2.212"
"perl","perl-config-perl-v=0.36"
"perl","perl-constant=1.33"
"perl","perl-cpan=2.36"
"perl","perl-cpan-meta=2.150010"
"perl","perl-cpan-meta-requirements=2.143"
"perl","perl-cpan-meta-yaml=0.018"
"perl","perl-data-dumper=2.189"
"perl","perl-db_file=1.859"
"perl","perl-devel-ppport=3.72"
"perl","perl-devel-selfstubber=1.06"
"perl","perl-digest=1.20"
"perl","perl-digest-md5=2.58_01"
"perl","perl-digest-sha=6.04"
"perl","perl-dumpvalue=1.21"
"perl","perl-encode=3.21"
"perl","perl-encoding-warnings=0.14"
"perl","perl-env=1.06"
"perl","perl-experimental=0.032"
"perl","perl-exporter=5.78"
"perl","perl-extutils-cbuilder=0.280240"
"perl","perl-extutils-constant=0.25"
"perl","perl-extutils-install=2.22"
"perl","perl-extutils-makemaker=7.70"
"perl","perl-extutils-manifest=1.75"
"perl","perl-extutils-parsexs=3.51"
"perl","perl-extutils-pl2bat=0.005"
"perl","perl-file-fetch=1.04"
"perl","perl-file-path=2.18"
"perl","perl-file-temp=0.2311"
"perl","perl-filter-simple=0.96"
"perl","perl-filter-util-call=1.64"
"perl","perl-findbin=1.54"
"perl","perl-getopt-long=2.57"
"perl","perl-http-tiny=0.088"
"perl","perl-i18n-collate=1.02"
"perl","perl-i18n-langtags=0.45"
"perl","perl-if=0.0610"
"perl","perl-io=1.55"
"perl","perl-io-compress=2.212"
"perl","perl-io-socket-ip=0.42"
"perl","perl-io-zlib=1.15"
"perl","perl-ipc-cmd=1.04"
"perl","perl-ipc-sysv=2.09"
"perl","perl-json-pp=4.16"
"perl","perl-lib=0.65"
"perl","perl-libnet=3.15"
"perl","perl-locale-maketext=1.33"
"perl","perl-locale-maketext-simple=0.21_01"
"perl","perl-math-bigint=2.003002"
"perl","perl-math-bigint-fastcalc=0.5018"
"perl","perl-math-complex=1.62"
"perl","perl-memoize=1.16"
"perl","perl-mime-base64=3.16_01"
"perl","perl-module-corelist=5.20240609"
"perl","perl-module-load=0.36"
"perl","perl-module-load-conditional=0.74"
"perl","perl-module-loaded=0.08"
"perl","perl-module-metadata=1.000038"
"perl","perl-net-ping=2.76"
"perl","perl-params-check=0.38"
"perl","perl-parent=0.241"
"perl","perl-pathtools=3.90"
"perl","perl-perl-ostype=1.010"
"perl","perl-perlfaq=5.20240218"
"perl","perl-perlio-via-quotedprint=0.10"
"perl","perl-pod-checker=1.77"
"perl","perl-pod-escapes=1.07"
"perl","perl-pod-perldoc=3.2801"
"perl","perl-pod-simple=3.45"
"perl","perl-pod-usage=2.03"
"perl","perl-podlators=5.010"
"perl","perl-safe=2.46"
"perl","perl-scalar-list-utils=1.63"
"perl","perl-search-dict=1.07"
"perl","perl-selfloader=1.27"
"perl","perl-socket=2.038"
"perl","perl-storable=3.32"
"perl","perl-sys-syslog=0.36"
"perl","perl-term-ansicolor=5.01"
"perl","perl-term-cap=1.18"
"perl","perl-term-complete=1.403"
"perl","perl-term-readline=1.17"
"perl","perl-term-table=0.018"
"perl","perl-test=1.31"
"perl","perl-test-harness=3.48"
"perl","perl-test-simple=1.302199"
"perl","perl-test2-suite=0.000162"
"perl","perl-text-abbrev=1.02"
"perl","perl-text-balanced=2.06"
"perl","perl-text-parsewords=3.31"
"perl","perl-text-tabs=2024.001"
"perl","perl-thread-queue=3.14"
"perl","perl-thread-semaphore=2.13"
"perl","perl-threads=2.40"
"perl","perl-threads-shared=1.69"
"perl","perl-tie-file=1.09"
"perl","perl-tie-refhash=1.40"
"perl","perl-time-hires=1.9777"
"perl","perl-time-local=1.35"
"perl","perl-time-piece=1.3401_01"
"perl","perl-unicode-collate=1.31"
"perl","perl-unicode-normalize=1.32"
"perl","perl-version=0.9930"
"perl","perl-xsloader=0.32"
"phonon-qt5-gstreamer","phonon-qt5-backend"
"phonon-qt5-vlc","phonon-qt5-backend"
"phonon-qt6-vlc","phonon-qt6-backend"
"php-apache","php-apache-interpreter=8.3"
"php-cgi","php-cgi-interpreter=8.3"
"php-dblib","php-dblib-interpreter=8.3"
"php-embed","php-embed-interpreter=8.3"
"php-enchant","php-enchant-interpreter=8.3"
"php-fpm","php-fpm-interpreter=8.3"
"php-gd","php-gd-interpreter=8.3"
"php-legacy-apache","php-apache-interpreter=8.2"
"php-legacy-cgi","php-cgi-interpreter=8.2"
"php-legacy-dblib","php-dblib-interpreter=8.2"
"php-legacy-embed","php-embed-interpreter=8.2"
"php-legacy-enchant","php-enchant-interpreter=8.2"
"php-legacy-fpm","php-fpm-interpreter=8.2"
"php-legacy-gd","php-gd-interpreter=8.2"
"php-legacy-odbc","php-odbc-interpreter=8.2"
"php-legacy-pgsql","php-pgsql-interpreter=8.2"
"php-legacy-phpdbg","php-phpdbg-interpreter=8.2"
"php-legacy-pspell","php-pspell-interpreter=8.2"
"php-legacy-snmp","php-snmp-interpreter=8.2"
"php-legacy-sodium","php-sodium-interpreter=8.2"
"php-legacy-sqlite","php-sqlite-interpreter=8.2"
"php-legacy-tidy","php-tidy-interpreter=8.2"
"php-legacy-xsl","php-xsl-interpreter=8.2"
"php-legacy","php-interpreter=8.2"
"php-legacy","php-legacy-intl=8.2.25"
"php-odbc","php-odbc-interpreter=8.3"
"php-pgsql","php-pgsql-interpreter=8.3"
"php-phpdbg","php-phpdbg-interpreter=8.3"
"php-pspell","php-pspell-interpreter=8.3"
"php-snmp","php-snmp-interpreter=8.3"
"php-sodium","php-sodium-interpreter=8.3"
"php-sqlite","php-sqlite-interpreter=8.3"
"php-tidy","php-tidy-interpreter=8.3"
"php-xsl","php-xsl-interpreter=8.3"
"php","php-interpreter=8.3"
"php","php-intl=8.3.13"
"pifpaf","python-pifpaf=3.2.3"
"pinentry-bemenu","pinentry"
"pipewire-jack","jack"
"pipewire-jack","libjack.so=0-64"
"pipewire-jack","libjacknet.so=0-64"
"pipewire-jack","libjackserver.so=0-64"
"pipewire-media-session","pipewire-session-manager"
"pipewire-pulse","pulse-native-provider"
"pixman","libpixman-1.so=0-64"
"pkcs11-helper","libpkcs11-helper.so=1-64"
"pkgconf","libpkgconf.so=4-64"
"pkgconf","pkg-config"
"pkgconf","pkgconfig"
"plan9port","plan9"
"plocate","locate"
"plocate","mlocate"
"pnetcdf-openmpi","parallel-netcdf"
"pnetcdf-openmpi","parallel-netcdf-openmpi"
"podman-docker","docker"
"podofo","libpodofo.so=2-64"
"polkit","libpolkit-agent-1.so=0-64"
"polkit","libpolkit-gobject-1.so=0-64"
"poppler-glib","libpoppler-glib.so=8-64"
"poppler-qt5","libpoppler-qt5.so=1-64"
"poppler-qt6","libpoppler-qt6.so=3-64"
"poppler","libpoppler-cpp.so=1-64"
"poppler","libpoppler.so=143-64"
"portaudio","libportaudio.so=2-64"
"portaudio","libportaudiocpp.so=0-64"
"portmidi","libportmidi.so=2-64"
"portsmf","libportSMF.so=0-64"
"postfix","smtp-forwarder"
"postfix","smtp-server"
"postgresql-libs","libecpg.so=6-64"
"postgresql-libs","libecpg_compat.so=3-64"
"postgresql-libs","libpgtypes.so=3-64"
"postgresql-libs","libpq.so=5-64"
"postgresql-libs","postgresql-client"
"powerdns-recursor","pdns-recursor"
"powerdns","pdns"
"powerline-fonts","otf-powerline-symbols"
"powerline","powerline-common"
"powerline","python-powerline"
"pre-commit","python-pre-commit"
"prjtrellis","libtrellis"
"procinfo-ng","procinfo"
"procps-ng","libproc2.so=0-64"
"procps-ng","procps"
"procps-ng","sysvinit-tools"
"profanity-gtk","profanity"
"protobuf-c","libprotobuf-c.so=1-64"
"protobuf","libprotobuf-lite.so=28.3.0-64"
"protobuf","libprotobuf.so=28.3.0-64"
"protobuf","libprotoc.so=28.3.0-64"
"proxychains-ng","proxychains"
"prrte","libprrte.so=3-64"
"psi-nowebengine","psi=1.5"
"pulseaudio","pulse-native-provider"
"puppet","puppet"
"pyside6","qt6-python-bindings"
"python-absl","absl-py"
"python-argon2-cffi","python-argon2_cffi=23.1.0"
"python-capng","python-libcap-ng"
"python-configshell-fb","python-configshell"
"python-cpplint","cpplint"
"python-cpplint","cpplint-py3"
"python-curio","python-multio-provider"
"python-dbus","dbus-python=1.3.2"
"python-dbus","python-dbus-common=1.3.2"
"python-django-q2","python-django-q"
"python-docker","python-docker-py"
"python-faust-cchardet","python-cchardet=2.1.19"
"python-flask-security-too","python-flask-security"
"python-flufl.bounce","python-flufl-bounce"
"python-flufl.i18n","python-flufl-i18n"
"python-future","futurize"
"python-future","pasteurize"
"python-gobject","pygobject-devel=3.50.0"
"python-h5py-openmpi","python-h5py"
"python-hcloud","hcloud-python"
"python-html2text","html2text"
"python-imaplib2","python-imaplib2"
"python-importlib_resources","python-importlib-resources"
"python-itanium-demangler","python-itanium_demangler"
"python-jupyter-client","python-jupyter_client"
"python-jupyter-core","python-jupyter_core"
"python-jupyter-packaging","python-jupyter_packaging"
"python-jupyterlab-server","python-jupyterlab_server"
"python-keras","python-keras-preprocessing"
"python-lark-parser","python-lark"
"python-lazr.config","python-lazr-config"
"python-nbdime","jupyter-nbdime"
"python-nbdime","jupyterlab-extension-nbdime"
"python-nest-asyncio","python-nest_asyncio"
"python-netcdf4-openmpi","python-netcdf4"
"python-nethsm-sdk-py","python-nethsm"
"python-onnxruntime-opt-rocm","python-onnxruntime=1.19.2"
"python-onnxruntime-opt","python-onnxruntime=1.19.2"
"python-onnxruntime-rocm","python-onnxruntime=1.19.2"
"python-osmium","pyosmium"
"python-osmium","python-pyosmium"
"python-path","python-path.py"
"python-perf","python-pyperf"
"python-pillow-heif","python-pillow_heif=0.20.0"
"python-poetry","poetry"
"python-pt","gdb-pt-dump"
"python-pyasn1","pyasn1"
"python-pyasynchat","python-asynchat"
"python-pyasyncore","python-asyncore"
"python-pycryptodome","python-crypto"
"python-pycuda","pycuda-headers"
"python-pycups","pycups"
"python-pygments","pygmentize"
"python-pylint-plugin-utils","python-pylint-plugin-utils"
"python-pylint-pydantic","python-pylint-pydantic"
"python-pymdown-extensions","pymdown-extensions"
"python-pynvim","python-neovim"
"python-pyqt5-webengine","python-pyqtwebengine"
"python-pyqt5","qt5-python-bindings"
"python-pyqt6","qt6-python-bindings"
"python-pysocks","python-socks"
"python-python-socks","python-python_socks"
"python-pytorch-cuda","python-pytorch=2.5.1"
"python-pytorch-opt-cuda","python-pytorch=2.5.1"
"python-pytorch-opt-cuda","python-pytorch-cuda=2.5.1"
"python-pytorch-opt-rocm","python-pytorch=2.5.1"
"python-pytorch-opt-rocm","python-pytorch-rocm=2.5.1"
"python-pytorch-opt","python-pytorch=2.5.1"
"python-pytorch-rocm","python-pytorch=2.5.1"
"python-pywlroots","pywlroots"
"python-pyxdg","python-xdg"
"python-saml","python-python3-saml"
"python-scipy","scipy"
"python-setuptools","python-distribute"
"python-sgmllib3k","python-sgmllib"
"python-softlayer-zeep","python-zeep"
"python-sphinxcontrib-jquery","python-sphinxcontrib.jquery"
"python-sqlalchemy1.4","python-sqlalchemy"
"python-stem","stem"
"python-tensorboard_plugin_wit","tensorboard_plugin_wit"
"python-tensorflow-cuda","python-tensorflow"
"python-tensorflow-opt-cuda","python-tensorflow"
"python-tensorflow-opt-cuda","python-tensorflow-cuda"
"python-tensorflow-opt","python-tensorflow"
"python-tensorflow-serving-api-gpu","python-tensorflow-serving-api"
"python-torchvision-cuda","python-torchvision"
"python-trio","python-multio-provider"
"python-update-checker","python-update_checker"
"python-witwidget","witwidget"
"python-witwidget","witwidget-gpu"
"python-yaml","python-pyyaml"
"python-zipstream-ng","python-zipstream=1.8.0"
"python","python-externally-managed"
"python","python3"
"qca-qt5","qca"
"qcoro","qcoro-qt6"
"qcustomplot","libqcustomplot.so=2-64"
"qemu-base","qemu=9.1.1"
"qemu-desktop","qemu=9.1.1"
"qemu-full","qemu=9.1.1"
"qemu-user-binfmt","qemu-user-binfmt-provider"
"qemu-user-static-binfmt","qemu-user-binfmt-provider"
"qhexedit2","libqhexedit.so=4-64"
"qstardict","stardict"
"qt6-multimedia-ffmpeg","qt6-multimedia-backend"
"qt6-multimedia-gstreamer","qt6-multimedia-backend"
"qtkeychain-qt5","qtkeychain"
"qtqr","python-qrtools"
"qtractor","clap-host"
"qtractor","dssi-host"
"qtractor","ladspa-host"
"qtractor","lv2-host"
"qtractor","vst-host"
"qtractor","vst3-host"
"quazip-qt5","quazip"
"qwt","qwtpolar"
"r","r-base=4.4.2"
"r","r-boot=1.3.31"
"r","r-class=7.3.22"
"r","r-cluster=2.1.6"
"r","r-codetools=0.2.20"
"r","r-compiler=4.4.2"
"r","r-datasets=4.4.2"
"r","r-foreign=0.8.87"
"r","r-graphics=4.4.2"
"r","r-grdevices=4.4.2"
"r","r-grid=4.4.2"
"r","r-kernsmooth=2.23.24"
"r","r-lattice=0.22.6"
"r","r-mass=7.3.61"
"r","r-matrix=1.7.1"
"r","r-methods=4.4.2"
"r","r-mgcv=1.9.1"
"r","r-nlme=3.1.166"
"r","r-nnet=7.3.19"
"r","r-parallel=4.4.2"
"r","r-rpart=4.1.23"
"r","r-spatial=7.3.17"
"r","r-splines=4.4.2"
"r","r-stats=4.4.2"
"r","r-stats4=4.4.2"
"r","r-survival=3.7.0"
"r","r-tcltk=4.4.2"
"r","r-tools=4.4.2"
"r","r-translations=4.4.2"
"r","r-utils=4.4.2"
"r2ghidra","radare2-r2ghidra"
"racket-minimal","racket"
"rage-encryption","rust-rage=0.11.0"
"rapidcheck","librapidcheck.so=librapidcheck.so-64"
"raptor","libraptor2.so=0-64"
"rasqal","librasqal.so=3-64"
"rav1e","librav1e.so=0.7-64"
"rdma-core","ibacm"
"rdma-core","infiniband-diags"
"rdma-core","libcxgb3"
"rdma-core","libcxgb4"
"rdma-core","libibcm"
"rdma-core","libibmad"
"rdma-core","libibumad"
"rdma-core","libibverbs"
"rdma-core","libiwpm"
"rdma-core","libmlx4"
"rdma-core","libmlx5"
"rdma-core","libmthca"
"rdma-core","libnes"
"rdma-core","libocrdma"
"rdma-core","librdmacm"
"rdma-core","rdma"
"rdma-core","srptools"
"re2","libre2.so=11-64"
"readline","libhistory.so=8-64"
"readline","libreadline.so=8-64"
"reaper","clap-host"
"reaper","lv2-host"
"reaper","vst-host"
"reaper","vst3-host"
"redo-python","redo"
"redo-sh","redo"
"referenceassemblies-pcl","mono-pcl"
"remmina","remmina-plugins"
"rhonabwy","librhonabwy.so=1.1-64"
"roc-toolkit","libroc.so=0.4-64"
"rocm-opencl-runtime","opencl-driver"
"rofi-wayland","rofi"
"root-cuda","root"
"ropper","python-ropper"
"rosegarden","dssi-host"
"rosegarden","ladspa-host"
"rosenpass","rosenpass"
"rosenpass","rp"
"rpm-tools","rpm=4.20.0"
"rpm-tools","rpm-org"
"rpm-tools","rpmextract=1.0-4"
"rssguard-lite","rssguard=4.7.4"
"rtaudio","librtaudio.so=7-64"
"rtmidi","librtmidi.so=7-64"
"rtmpdump","librtmp.so=1-64"
"rtosc","librtosc-cpp.so=librtosc-cpp.so-64"
"rtosc","librtosc.so=librtosc.so-64"
"rubberband","librubberband-jni.so=librubberband-jni.so-64"
"rubberband","librubberband.so=3-64"
"rubocop","ruby-rubocop"
"ruby-pkg-config","ruby-pkgconfig"
"ruby-rake","rake"
"ruby-ronn-ng","ruby-ronn"
"ruby","libruby.so=3.3-64"
"ruby","ruby-abbrev"
"ruby","ruby-base64"
"ruby","ruby-benchmark"
"ruby","ruby-bigdecimal"
"ruby","ruby-cgi"
"ruby","ruby-csv"
"ruby","ruby-date"
"ruby","ruby-delegate"
"ruby","ruby-did_you_mean"
"ruby","ruby-digest"
"ruby","ruby-drb"
"ruby","ruby-english"
"ruby","ruby-error_highlight"
"ruby","ruby-etc"
"ruby","ruby-fcntl"
"ruby","ruby-fiddle"
"ruby","ruby-fileutils"
"ruby","ruby-find"
"ruby","ruby-forwardable"
"ruby","ruby-getoptlong"
"ruby","ruby-io-console"
"ruby","ruby-io-nonblock"
"ruby","ruby-io-wait"
"ruby","ruby-ipaddr"
"ruby","ruby-json"
"ruby","ruby-logger"
"ruby","ruby-mutex_m"
"ruby","ruby-net-http"
"ruby","ruby-net-protocol"
"ruby","ruby-nkf"
"ruby","ruby-observer"
"ruby","ruby-open-uri"
"ruby","ruby-open3"
"ruby","ruby-openssl"
"ruby","ruby-optparse"
"ruby","ruby-ostruct"
"ruby","ruby-pathname"
"ruby","ruby-pp"
"ruby","ruby-prettyprint"
"ruby","ruby-pstore"
"ruby","ruby-psych"
"ruby","ruby-readline"
"ruby","ruby-readline-ext"
"ruby","ruby-reline"
"ruby","ruby-resolv"
"ruby","ruby-resolv-replace"
"ruby","ruby-rinda"
"ruby","ruby-ruby2_keywords"
"ruby","ruby-securerandom"
"ruby","ruby-set"
"ruby","ruby-shellwords"
"ruby","ruby-singleton"
"ruby","ruby-stringio"
"ruby","ruby-strscan"
"ruby","ruby-syntax_suggest"
"ruby","ruby-syslog"
"ruby","ruby-tempfile"
"ruby","ruby-time"
"ruby","ruby-timeout"
"ruby","ruby-tmpdir"
"ruby","ruby-tsort"
"ruby","ruby-un"
"ruby","ruby-uri"
"ruby","ruby-weakref"
"ruby","ruby-yaml"
"ruby","ruby-zlib"
"rubygems","ruby-rubygems"
"runc","oci-runtime"
"rust","cargo"
"rust","rustfmt"
"rustup","cargo"
"rustup","cargo-nightly"
"rustup","lib32-rust-libs"
"rustup","rust"
"rustup","rust-analyzer"
"rustup","rust-musl"
"rustup","rust-nightly"
"rustup","rust-src"
"rustup","rust-wasm"
"rustup","rustfmt"
"rustypaste-cli","rpaste"
"rygel","librygel-core-2.8.so=0-64"
"rygel","librygel-db-2.8.so=0-64"
"rygel","librygel-renderer-2.8.so=0-64"
"rygel","librygel-renderer-gst-2.8.so=0-64"
"rygel","librygel-ruih-2.8.so=0-64"
"rygel","librygel-server-2.8.so=0-64"
"s-nail","heirloom-mailx"
"s-nail","mailx"
"s-nail","mailx-heirloom"
"s2n-tls","s2n"
"s3fs-fuse","s3fs"
"sane","libsane.so=1-64"
"sbc","libsbc.so=1-64"
"sbcl","cl-asdf"
"sbcl","common-lisp"
"schroot","dchroot"
"schroot","sbuild"
"schroot","schroot"
"sdbus-cpp","libsdbus-c++.so=2-64"
"sdcv","stardict"
"sddm","display-manager"
"sdl12-compat","sdl=1:1.2.15+r406+gf1caf909-1"
"sdl_image","libSDL_image-1.2.so=0-64"
"seahorse","x11-ssh-askpass"
"seatd","libseat.so=1-64"
"secrets","gnome-passwordsafe"
"sentry-native","libsentry.so=libsentry.so-64"
"serd","libserd-0.so=0-64"
"sfizz-lib","libsfizz.so=1-64"
"sfml","libsfml-audio.so=2.6-64"
"sfml","libsfml-graphics.so=2.6-64"
"sfml","libsfml-network.so=2.6-64"
"sfml","libsfml-system.so=2.6-64"
"sfml","libsfml-window.so=2.6-64"
"shaderc","libshaderc_shared.so=1-64"
"sile","libtexpdf.so=0-64"
"simutrans-pak128","simutrans-pak64"
"singular","singular-factory"
"skia-sharp","libSkiaSharp.so=88.8.0-64"
"sleuthkit","libtsk.so=19-64"
"smlnj","sml"
"snappy","libsnappy.so=1-64"
"sndio","libsndio.so=7-64"
"sonic-visualiser","vamp-host"
"sonivox","libsonivox.so=3-64"
"sord","libsord-0.so=0-64"
"sox","libsox.so=3-64"
"spdlog","libspdlog.so=1.15-64"
"speex","libspeex.so=1-64"
"speexdsp","libspeexdsp.so=1-64"
"spice-gtk","spice-glib=0.42"
"spice-gtk","spice-gtk3=0.42"
"spice","libspice-server.so=1-64"
"spire-agent","spire-agent"
"spire-server","spire-server"
"sqlite-doc","sqlite3-doc=3.46.1"
"sqlite-tcl","sqlite3-tcl=3.46.1"
"sqlite","libsqlite3.so=0-64"
"sqlite","sqlite3=3.46.1"
"sratom","libsratom-0.so=0-64"
"srslte-avx2","srslte"
"srslte","srsenb"
"srslte","srsepc"
"srslte","srsue"
"stk","libstk-5.0.0.so=libstk-5.0.0.so-64"
"stoken","libstoken.so=1-64"
"subversion","svn"
"suil","libsuil-0.so=0-64"
"sunpinyin-data","sunpinyin-data-le=2.0.3.20140820"
"supercollider","libscsynth.so=1-64"
"supercollider","sclang=3.13.0"
"supercollider","scsynth=3.13.0"
"svgo","nodejs-svgo"
"sway","wayland-compositor"
"switchboard","libswitchboard-3.so=0-64"
"system76-firmware","system76-firmware-daemon"
"systemd-libs","libsystemd"
"systemd-libs","libsystemd.so=0-64"
"systemd-libs","libudev.so=1-64"
"systemd-resolvconf","openresolv"
"systemd-resolvconf","resolvconf"
"systemd-ukify","ukify"
"systemd","nss-myhostname"
"systemd","systemd-tools=256.8"
"systemd","udev=256.8"
"systray-x-common","systray-x"
"systray-x-kde","systray-x"
"taplo-cli","taplo"
"tcplay","libtcplay.so=3.3-64"
"tdb","libtdb.so=1-64"
"tealdeer","tldr"
"teensy_loader_cli","teensy-loader-cli"
"tela-circle-icon-theme-all","tela-circle-icon-theme"
"tela-circle-icon-theme-black","tela-circle-icon-theme"
"tela-circle-icon-theme-blue","tela-circle-icon-theme"
"tela-circle-icon-theme-brown","tela-circle-icon-theme"
"tela-circle-icon-theme-dracula","tela-circle-icon-theme"
"tela-circle-icon-theme-green","tela-circle-icon-theme"
"tela-circle-icon-theme-grey","tela-circle-icon-theme"
"tela-circle-icon-theme-manjaro","tela-circle-icon-theme"
"tela-circle-icon-theme-nord","tela-circle-icon-theme"
"tela-circle-icon-theme-orange","tela-circle-icon-theme"
"tela-circle-icon-theme-pink","tela-circle-icon-theme"
"tela-circle-icon-theme-purple","tela-circle-icon-theme"
"tela-circle-icon-theme-red","tela-circle-icon-theme"
"tela-circle-icon-theme-standard","tela-circle-icon-theme"
"tela-circle-icon-theme-ubuntu","tela-circle-icon-theme"
"tela-circle-icon-theme-yellow","tela-circle-icon-theme"
"template-glib","libtemplate_glib-1.0.so=0-64"
"tensorflow-cuda","tensorflow"
"tensorflow-opt-cuda","tensorflow"
"tensorflow-opt-cuda","tensorflow-cuda"
"tensorflow-opt","tensorflow"
"tesseract-data-afr","tessdata"
"tesseract-data-amh","tessdata"
"tesseract-data-ara","tessdata"
"tesseract-data-asm","tessdata"
"tesseract-data-aze","tessdata"
"tesseract-data-aze_cyrl","tessdata"
"tesseract-data-bel","tessdata"
"tesseract-data-ben","tessdata"
"tesseract-data-bod","tessdata"
"tesseract-data-bos","tessdata"
"tesseract-data-bre","tessdata"
"tesseract-data-bul","tessdata"
"tesseract-data-cat","tessdata"
"tesseract-data-ceb","tessdata"
"tesseract-data-ces","tessdata"
"tesseract-data-chi_sim","tessdata"
"tesseract-data-chi_sim_vert","tessdata"
"tesseract-data-chi_tra","tessdata"
"tesseract-data-chi_tra_vert","tessdata"
"tesseract-data-chr","tessdata"
"tesseract-data-cos","tessdata"
"tesseract-data-cym","tessdata"
"tesseract-data-dan","tessdata"
"tesseract-data-dan_frak","tessdata"
"tesseract-data-deu","tessdata"
"tesseract-data-deu_frak","tessdata"
"tesseract-data-div","tessdata"
"tesseract-data-dzo","tessdata"
"tesseract-data-ell","tessdata"
"tesseract-data-eng","tessdata"
"tesseract-data-enm","tessdata"
"tesseract-data-epo","tessdata"
"tesseract-data-equ","tessdata"
"tesseract-data-est","tessdata"
"tesseract-data-eus","tessdata"
"tesseract-data-fao","tessdata"
"tesseract-data-fas","tessdata"
"tesseract-data-fil","tessdata"
"tesseract-data-fin","tessdata"
"tesseract-data-fra","tessdata"
"tesseract-data-frk","tessdata"
"tesseract-data-frm","tessdata"
"tesseract-data-fry","tessdata"
"tesseract-data-gla","tessdata"
"tesseract-data-gle","tessdata"
"tesseract-data-glg","tessdata"
"tesseract-data-grc","tessdata"
"tesseract-data-guj","tessdata"
"tesseract-data-hat","tessdata"
"tesseract-data-heb","tessdata"
"tesseract-data-hin","tessdata"
"tesseract-data-hrv","tessdata"
"tesseract-data-hun","tessdata"
"tesseract-data-hye","tessdata"
"tesseract-data-iku","tessdata"
"tesseract-data-ind","tessdata"
"tesseract-data-isl","tessdata"
"tesseract-data-ita","tessdata"
"tesseract-data-ita_old","tessdata"
"tesseract-data-jav","tessdata"
"tesseract-data-jpn","tessdata"
"tesseract-data-jpn_vert","tessdata"
"tesseract-data-kan","tessdata"
"tesseract-data-kat","tessdata"
"tesseract-data-kat_old","tessdata"
"tesseract-data-kaz","tessdata"
"tesseract-data-khm","tessdata"
"tesseract-data-kir","tessdata"
"tesseract-data-kmr","tessdata"
"tesseract-data-kor","tessdata"
"tesseract-data-kor_vert","tessdata"
"tesseract-data-lao","tessdata"
"tesseract-data-lat","tessdata"
"tesseract-data-lav","tessdata"
"tesseract-data-lit","tessdata"
"tesseract-data-ltz","tessdata"
"tesseract-data-mal","tessdata"
"tesseract-data-mar","tessdata"
"tesseract-data-mkd","tessdata"
"tesseract-data-mlt","tessdata"
"tesseract-data-mon","tessdata"
"tesseract-data-mri","tessdata"
"tesseract-data-msa","tessdata"
"tesseract-data-mya","tessdata"
"tesseract-data-nep","tessdata"
"tesseract-data-nld","tessdata"
"tesseract-data-nor","tessdata"
"tesseract-data-oci","tessdata"
"tesseract-data-ori","tessdata"
"tesseract-data-pan","tessdata"
"tesseract-data-pol","tessdata"
"tesseract-data-por","tessdata"
"tesseract-data-pus","tessdata"
"tesseract-data-que","tessdata"
"tesseract-data-ron","tessdata"
"tesseract-data-rus","tessdata"
"tesseract-data-san","tessdata"
"tesseract-data-sin","tessdata"
"tesseract-data-slk","tessdata"
"tesseract-data-slk_frak","tessdata"
"tesseract-data-slv","tessdata"
"tesseract-data-snd","tessdata"
"tesseract-data-spa","tessdata"
"tesseract-data-spa_old","tessdata"
"tesseract-data-sqi","tessdata"
"tesseract-data-srp","tessdata"
"tesseract-data-srp_latn","tessdata"
"tesseract-data-sun","tessdata"
"tesseract-data-swa","tessdata"
"tesseract-data-swe","tessdata"
"tesseract-data-syr","tessdata"
"tesseract-data-tam","tessdata"
"tesseract-data-tat","tessdata"
"tesseract-data-tel","tessdata"
"tesseract-data-tgk","tessdata"
"tesseract-data-tgl","tessdata"
"tesseract-data-tha","tessdata"
"tesseract-data-tir","tessdata"
"tesseract-data-ton","tessdata"
"tesseract-data-tur","tessdata"
"tesseract-data-uig","tessdata"
"tesseract-data-ukr","tessdata"
"tesseract-data-urd","tessdata"
"tesseract-data-uzb","tessdata"
"tesseract-data-uzb_cyrl","tessdata"
"tesseract-data-vie","tessdata"
"tesseract-data-yid","tessdata"
"tesseract-data-yor","tessdata"
"tesseract","libtesseract.so=5-64"
"tevent","libtevent.so=0-64"
"texlive-basic","texlive-amsfonts"
"texlive-basic","texlive-bibtex"
"texlive-basic","texlive-cm"
"texlive-basic","texlive-colorprofiles"
"texlive-basic","texlive-core"
"texlive-basic","texlive-dvipdfmx"
"texlive-basic","texlive-dvips"
"texlive-basic","texlive-ec"
"texlive-basic","texlive-enctex"
"texlive-basic","texlive-etex"
"texlive-basic","texlive-etex-pkg"
"texlive-basic","texlive-glyphlist"
"texlive-basic","texlive-graphics-def"
"texlive-basic","texlive-hyph-utf8"
"texlive-basic","texlive-hyphen-base"
"texlive-basic","texlive-hyphenex"
