package,provides
"boost-libs","libboost_timer.so=1.86.0-64"
"boost-libs","libboost_type_erasure.so=1.86.0-64"
"boost-libs","libboost_unit_test_framework.so=1.86.0-64"
"boost-libs","libboost_url.so=1.86.0-64"
"boost-libs","libboost_wave.so=1.86.0-64"
"boost-libs","libboost_wserialization.so=1.86.0-64"
"booster","initramfs"
"borg","borgbackup"
"breezy","bzr"
"brltty","libbrlapi.so=0.8-64"
"brotli","libbrotlicommon.so=1-64"
"brotli","libbrotlidec.so=1-64"
"brotli","libbrotlienc.so=1-64"
"btrfs-heatmap","python-btrfs-heatmap"
"btrfs-progs","btrfs-progs-unstable"
"bubblewrap-suid","bubblewrap=0.11.0-1"
"bullet-dp","bullet"
"bzip2","libbz2.so=1.0-64"
"bzip3","libbzip3.so=0-64"
"c-ares","libcares.so=2-64"
"ca-certificates-utils","ca-certificates"
"ca-certificates-utils","ca-certificates-java"
"cage","wayland-compositor"
"cairo","libcairo-gobject.so=2-64"
"cairo","libcairo-script-interpreter.so=2-64"
"cairo","libcairo.so=2-64"
"cairomm-1.16","libcairomm-1.16.so=1-64"
"cairomm","libcairomm-1.0.so=1-64"
"capnproto","libcapnp-json.so=1.0.2-64"
"capnproto","libcapnp-rpc.so=1.0.2-64"
"capnproto","libcapnp.so=1.0.2-64"
"capnproto","libcapnpc.so=1.0.2-64"
"capnproto","libkj-async.so=1.0.2-64"
"capnproto","libkj-gzip.so=1.0.2-64"
"capnproto","libkj-http.so=1.0.2-64"
"capnproto","libkj-test.so=1.0.2-64"
"capnproto","libkj-tls.so=1.0.2-64"
"capnproto","libkj.so=1.0.2-64"
"capstone","libcapstone.so=5-64"
"carla","dssi-host"
"carla","ladspa-host"
"carla","lv2-host"
"carla","vst-host"
"carla","vst3-host"
"cdrtools","cdrkit"
"chafa","libchafa.so=0-64"
"check","libcheck.so=0-64"
"chromaprint","libchromaprint.so=1-64"
"chrono-date","libdate-tz.so=3-64"
"clamav","libclamav.so=12-64"
"clamav","libclamunrar.so=12-64"
"clamav","libclamunrar_iface.so=12-64"
"clang","clang-analyzer=18.1.8"
"clang","clang-tools-extra=18.1.8"
"claws-mail","claws"
"clblast","libclblast.so=1-64"
"clisp","common-lisp"
"clthreads","libclthreads.so=2-64"
"clutter","libclutter-1.0.so=0-64"
"clxclient","libclxclient.so=3-64"
"cmucl","cl-asdf"
"cmucl","common-lisp"
"cni-plugins","container-network-stack=1"
"cockatrice","cockatrice-client"
"cockatrice","cockatrice-server"
"cockpit","cockpit-pcp"
"code","vscode"
"codec2","freedv"
"coeurl","libcoeurl.so=0.3-64"
"coffeescript","coffee-script=2.7.0"
"cogl","libcogl-gles2.so=20-64"
"cogl","libcogl-pango.so=20-64"
"cogl","libcogl-path.so=20-64"
"cogl","libcogl.so=20-64"
"colord-gtk","libcolord-gtk.so=1-64"
"colord-gtk4","libcolord-gtk4.so=1-64"
"colord","libcolorhug.so=2-64"
"containerd","container-runtime"
"cpanminus","perl-app-cpanminus=1.7047"
"cpp-hocon","libcpp-hocon.so=0.3.0-64"
"cri-o","container-runtime"
"criu","libcompel.so=1-64"
"criu","libcriu.so=2-64"
"cronie","cron"
"crun","oci-runtime"
"cryptsetup","libcryptsetup.so=12-64"
"csound","libcsnd6.so=6.0-64"
"csound","libcsound64.so=6.0-64"
"ctags","universal-ctags"
"cuda","cuda-sdk"
"cuda","cuda-toolkit"
"cuda","libcublas.so=12-64"
"cuda","libcublas.so=12-64"
"cuda","libcudart.so=12-64"
"cuda","libcusolver.so=11-64"
"cuda","libcusolver.so=11-64"
"cuda","libcusparse.so=12-64"
"cuda","libcusparse.so=12-64"
"curl","libcurl.so=4-64"
"d-spy","libdspy-1.so=1-64"
"dart-sass","sass"
