ansible-core,svenstaro
ansible-core,Antiz
ansible-language-server,dvzrv
ansible-language-server,Antiz
ansible-lint,Antiz
ansible,svenstaro
ansible,Antiz
ant-doc,anthraxx
ant,anthraxx
anthy,anthraxx
antimicrox,grawlinson
antiword,alerque
antlr4-runtime,eworm
antlr4-runtime,kgizdov
antlr4,eworm
antlr4,kgizdov
anura,svenstaro
anything-sync-daemon,dvzrv
aom-docs,heftig
aom,heftig
apache-orc,Archange
apache,anatolik
apcupsd,freswa
apitrace,lcarlier
apk-tools,kpcyrd
apk-tools,Antiz
apko,kpcyrd
apksigcopier,kpcyrd
apksigcopier,sangy
apostrophe,bgyorgy
app-icon-preview,bgyorgy
apparmor,dvzrv
appmenu-gtk-module,arojas
apprise,gromit
appstream-generator,arojas
appstream-glib,heftig
appstream-qt,arojas
appstream-qt5,arojas
appstream,arojas
apptainer,grawlinson
apr-util,anatolik
apr-util,carsme
apr,anatolik
apr,carsme
apt-docs,alex19EP
apt-docs,gromit
apt,alex19EP
apt,gromit
aqbanking,jlichtblau
aquamarine,alerque
arandr,spupykin
arandr,daurnimator
arandr,anthraxx
arbtt,felixonmars
arca,arojas
arch-audit-gtk,kpcyrd
arch-audit,shibumi
arch-audit,anthraxx
arch-audit,kpcyrd
arch-hs,felixonmars
arch-install-scripts,dvzrv
arch-install-scripts,Foxboron
arch-rebuild-order,jelle
arch-release-promotion,dvzrv
arch-repro-status,orhun
arch-signoff,jelle
arch-wiki-docs,spupykin
arch-wiki-docs,grawlinson
arch-wiki-docs,Lahwaacz
arch-wiki-lite,grawlinson
arch-wiki-lite,Lahwaacz
archinstall,grazzolini
archinstall,dvzrv
archinstall,torxed
archiso,dvzrv
archivetools,seblu
archlinux-appstream-data,arojas
archlinux-contrib,Foxboron
archlinux-contrib,Antiz
archlinux-keyring,eworm
archlinux-keyring,Foxboron
archlinux-repro,Foxboron
archlinux-repro,kpcyrd
archlinux-themes-slim,foutrelis
archlinux-userland-fs-cmp,kpcyrd
archlinux-wallpaper,arodseth
archlinux-xdg-menu,spupykin
ardour,dvzrv
arduino-cli,FFY00
