package,replaces
"ropper","python-ropper"
"rpcbind","portmap"
"rssguard-lite","rssguard-nowebengine"
"ruby-bundled-gems","ruby-bundledgems"
"ruby-pkg-config","ruby-pkgconfig"
"ruby-ronn-ng","ruby-ronn"
"ruby-unicorn-engine","ruby-unicorn"
"ruby","ruby-abbrev"
"ruby","ruby-base64"
"ruby","ruby-benchmark"
"ruby","ruby-bigdecimal"
"ruby","ruby-cgi"
"ruby","ruby-csv"
"ruby","ruby-date"
"ruby","ruby-delegate"
"ruby","ruby-did_you_mean"
"ruby","ruby-digest"
"ruby","ruby-drb"
"ruby","ruby-english"
"ruby","ruby-etc"
"ruby","ruby-fcntl"
"ruby","ruby-fiddle"
"ruby","ruby-fileutils"
"ruby","ruby-find"
"ruby","ruby-forwardable"
"ruby","ruby-getoptlong"
"ruby","ruby-io-console"
"ruby","ruby-io-nonblock"
"ruby","ruby-io-wait"
"ruby","ruby-ipaddr"
"ruby","ruby-json"
"ruby","ruby-logger"
"ruby","ruby-mutex_m"
"ruby","ruby-net-http"
"ruby","ruby-open-uri"
"ruby","ruby-psych"
"ruby","ruby-reline"
"ruby","ruby-ruby2_keywords"
"ruby","ruby-set"
"ruby","ruby-stringio"
"ruby","ruby-time"
"ruby","ruby-tmpdir"
"ruby","ruby-uri"
"rucola","rucola-notes"
"rust","cargo"
"rust","cargo-tree"
"rust","rust-docs<1:1.56.1-3"
"rust","rustfmt"
"rustic","rustic-bin"
"rustic","rustic-rs"
"rustup","cargo-tree"
"s-nail","heirloom-mailx"
"s-nail","mailx"
"s-nail","mailx-heirloom"
"s2n-tls","s2n"
"s3fs-fuse","s3fs"
"salt","salt-raet"
"salt","salt-zmq"
"scantailor-advanced","scantailor"
"schroot","dchroot"
"sdl12-compat","sdl<=1:1.2.15+r406+gf1caf909"
"seatd","libseat"
"secrets","gnome-passwordsafe"
"selene","selene-linter"
"sequoia-sq","sequoia"
"sile","sile-luajit"
"solid5","solid<5.111"
"sonnet5","sonnet<5.111"
"spice-gtk","spice-glib"
"spice-gtk","spice-gtk3"
"spike","fesvr"
"sqlite-doc","sqlite3-doc"
"sqlite-tcl","sqlite3-tcl"
"sqlite","sqlite3"
"stack","haskell-stack"
"steam-native-runtime","steam-libs"
"stylua","stylua-bin"
"suitesparse-graphblas","suitesparse64<7.1.0"
"suitesparse","suitesparse64<7.1.0"
"svgo","nodejs-svgo"
"syndication5","syndication<5.111"
"syntax-highlighting5","syntax-highlighting<5.111"
"syslog-ng","eventlog"
"systemc","systemc-cmake"
"systemd-libs","libsystemd"
"systemd","nss-myhostname"
"systemd","systemd-tools"
"systemd","udev"
"tea","gitea-tea"
"teensy_loader_cli","teensy-loader-cli"
"terminus-font","terminus-font-otb"
"texlive-basic","texlive-core"
"texlive-binextra","git-latexdiff"
"texlive-langother","texlive-langextra"
"texlive-mathscience","texlive-science"
"texstudio","texmakerx"
"threadweaver5","threadweaver<5.111"
"tidy","tidyhtml"
"tinymist","tinymist-bin"
"tinysparql","tracker3<=3.7.3-2"
"tinyssh","tinyssh-convert"
"totem-pl-parser","totem-plparser<=3.26.3-1"
"totem","totem-plugin"
"treedec","tdlib"
"ttf-agave-nerd","nerd-fonts-agave"
"ttf-anonymouspro-nerd","nerd-fonts-anonymous-pro"
"ttf-arimo-nerd","nerd-fonts-arimo"
"ttf-bitstream-vera-mono-nerd","nerd-fonts-bitstream-vera-mono"
"ttf-cascadia-code-nerd","nerd-fonts-cascadia-code"
"ttf-cascadia-code-nerd","otf-cascadia-code-nerd"
"ttf-dejavu-nerd","nerd-fonts-dejavu-complete"
"ttf-doulos-sil","ttf-sil-doulos"
"ttf-fantasque-nerd","nerd-fonts-fantasque-sans-mono"
"ttf-firacode-nerd","nerd-fonts-fira-code"
"ttf-gentium-plus","gentium-plus-font"
"ttf-go-nerd","nerd-fonts-go-mono"
"ttf-hack-nerd","nerd-fonts-hack"
"ttf-ibmplex-mono-nerd","nerd-fonts-ibm-plex-mono"
"ttf-inconsolata-go-nerd","nerd-fonts-inconsolata-go"
"ttf-inconsolata-lgc-nerd","nerd-fonts-inconsolatalgc"
"ttf-inconsolata-nerd","nerd-fonts-inconsolata"
"ttf-iosevka-nerd","nerd-fonts-iosevka"
"ttf-jetbrains-mono-nerd","nerd-fonts-jetbrains-mono"
"ttf-joypixels","ttf-emojione"
"ttf-liberation-mono-nerd","nerd-fonts-liberation-mono"
"ttf-meslo-nerd","nerd-fonts-meslo"
"ttf-monofur-nerd","nerd-fonts-monofur"
"ttf-monoid-nerd","nerd-fonts-monoid"
"ttf-mononoki-nerd","nerd-fonts-mononoki"
"ttf-montserrat","montserrat-ttf"
"ttf-mplus-nerd","nerd-fonts-mplus"
"ttf-nerd-fonts-symbols-mono","ttf-nerd-fonts-symbols-1000-em-mono"
"ttf-nerd-fonts-symbols-mono","ttf-nerd-fonts-symbols-2048-em-mono"
"ttf-nerd-fonts-symbols","ttf-nerd-fonts-symbols-1000-em"
"ttf-nerd-fonts-symbols","ttf-nerd-fonts-symbols-2048-em"
"ttf-noto-nerd","nerd-fonts-noto"
"ttf-profont-nerd","nerd-fonts-profont"
"ttf-roboto-mono-nerd","nerd-fonts-roboto-mono"
"ttf-scheherazade-new","ttf-sil-scheherazade"
"ttf-sourcecodepro-nerd","nerd-fonts-source-code-pro"
"ttf-space-mono-nerd","nerd-fonts-source-space-mono"
"ttf-terminus-nerd","nerd-fonts-terminus"
"ttf-tinos-nerd","nerd-fonts-source-tinos"
"ttf-ubuntu-mono-nerd","nerd-fonts-ubuntu-mono"
"ttf-ubuntu-mono-nerd","ttf-ubuntumono-nerd"
"ttf-ubuntu-nerd","nerd-fonts-ubuntu"
"ttf-victor-mono-nerd","ttf-nerd-fonts-victor-mono"
"tupitube","tupitube.desk"
"twine","python-twine"
"typst","typst-bin"
"ublock-origin","chromium-ublock-origin"
"udp2raw","udp2raw-tunnel"
"ueberzug","python-ueberzug"
"ukui-panel","ukui-indicators"
"ukui-wallpapers","ubuntukylin-wallpapers"
"util-linux-libs","libutil-linux"
"util-linux","hardlink"
"util-linux","rfkill"
"v4l-utils","libv4l"
"vagrant","vagrant-substrate"
"vala","valadoc"
"valgrind","valgrind-multilib"
"vim-powerline","powerline-vim"
"vim-ultisnips","vim-snipmate"
"vim","vim-minimal"
"virt-viewer","virtviewer"
"virtiofsd","qemu-virtiofsd"
"virtualbox-guest-iso","virtualbox-additions"
"virtualbox-guest-iso","virtualbox-iso-additions"
"virtualbox-guest-utils-nox","virtualbox-guest-dkms"
"virtualbox-guest-utils","virtualbox-archlinux-additions"
"virtualbox-guest-utils","virtualbox-guest-additions"
"virtualbox-guest-utils","virtualbox-guest-dkms"
"virtualbox-host-dkms","virtualbox-host-source"
"virtualbox-host-dkms","virtualbox-source"
"virtualbox-host-modules-arch","virtualbox-host-modules"
"virtualbox-host-modules-arch","virtualbox-modules"
"virtualbox","virtualbox-ose"
"vlc","vlc-plugin"
"volatility3","volatility"
"vpl-gpu-rt","onevpl-intel-gpu"
"vulkan-mesa-layers","vulkan-mesa-layer"
"vulkan-swrast","vulkan-mesa"
"vulscan","nmap-vulscan"
"wacomtablet","kcm-wacomtablet"
"wasm-bindgen","wasm-bindgen-cli"
"web-ext","nodejs-web-ext"
"wezterm","wezterm-shell-integration"
"widelands","widelands-data"
"wine-gecko","wine_gecko"
"wireless-regdb","crda"
"wireshark-qt","wireshark"
"wireshark-qt","wireshark-common"
"wireshark-qt","wireshark-gtk"
"woob","weboob"
"wxwidgets-common","wxgtk-common"
"wxwidgets-gtk3","wxgtk3"
"x264","libx264"
"x264","libx264-10bit"
"x264","libx264-all"
"xapp","xapps"
"xdg-desktop-portal-gnome","xdg-desktop-portal-gtk<1.10.0-2"
"xf86-input-synaptics","synaptics"
"xf86-video-intel","xf86-video-intel-sna"
"xf86-video-intel","xf86-video-intel-uxa"
"xh","ht"
"xh","ht-rs"
"xkeyboard-config","xkbdata"
"xorg-font-util","font-util"
"xorg-fonttosfnt","fonttosfnt"
"xorg-mkfontscale","xorg-mkfontdir"
"xorg-server","glamor-egl"
"xorg-server","xf86-video-modesetting"
"xorg-xwayland","xorg-server-xwayland"
"xournalpp","xournal"
"yubikey-manager-qt","yubikey-neo-manager"
"zbar","python-zbar"
"zbar","zbar-gtk"
"zbar","zbar-qt"
"zed","zed-editor"
"zeitgeist","zeitgeist-datahub"
"zim-tools","zimwriterfs"
